证书签发完成,"Certificate Issued"
"当前为配置预览；运行验证只有在实例与 Managed Nginx owner 绑定后才归因。","This is a configuration preview; runtime verification is attributed only after the instance is bound to the Managed Nginx owner."
"Nginx reload：仅使用项目托管生命周期，不执行宿主机外部命令。","Nginx reload uses only the project-managed lifecycle and never executes external host commands."
"Managed Nginx：托管=%{1}，已安装=%{2}，运行中=%{3}，owner=%{4}，upstream=%{5}:%{6}","Managed Nginx: managed=%{1}, installed=%{2}, running=%{3}, owner=%{4}, upstream=%{5}:%{6}"
未绑定,Unbound
"Managed Nginx 公网端口：owner HTTP=%{1}，HTTPS=%{2}，已绑定=%{3}；当前配置预期 HTTP=%{4}，HTTPS=%{5}","Managed Nginx public ports: owner HTTP=%{1}, HTTPS=%{2}, bound=%{3}; current configuration expects HTTP=%{4}, HTTPS=%{5}"
"Managed Nginx 身份：期望版本=%{1}，实际版本=%{2}，manifest=%{3}，配置摘要=%{4}，upstream 摘要=%{5}","Managed Nginx identity: expected version=%{1}, actual version=%{2}, manifest=%{3}, configuration digest=%{4}, upstream digest=%{5}"
匹配,Matches
不匹配,"Does not match"
"Nginx 公网协议：配置顺序=%{1}，配置首选=%{2}，实测首选=%{3}，整体运行验证=%{4}","Nginx public protocols: configured order=%{1}, configured preference=%{2}, live preference=%{3}, overall runtime verification=%{4}"
未配置,"Not configured"
通过,Passed
未通过,Failed
"Nginx HTTP/2：模块能力=%{1}，已配置=%{2}，owner-bound 真实请求=%{3}","Nginx HTTP/2: module capability=%{1}, configured=%{2}, owner-bound live request=%{3}"
"Nginx HTTP/1.1 回退：已配置=%{1}，真实请求=%{2}","Nginx HTTP/1.1 fallback: configured=%{1}, live request=%{2}"
"Nginx HTTP/3：二进制能力=%{1}，已配置=%{2}，Alt-Svc=%{3}，真实 QUIC=%{4}","Nginx HTTP/3: binary capability=%{1}, configured=%{2}, Alt-Svc=%{3}, live QUIC=%{4}"
"Nginx HTTP/3 说明：%{1}","Nginx HTTP/3 note: %{1}"
"Nginx TLS 1.3：二进制能力=%{1}，仅允许 TLS 1.3=%{2}，真实握手=%{3}","Nginx TLS 1.3: binary capability=%{1}, TLS 1.3 only=%{2}, live handshake=%{3}"
"Nginx TLS Session：shared cache=%{1}，tickets=%{2}，共享 ticket keys=%{3}，真实恢复握手=%{4}","Nginx TLS Session: shared cache=%{1}, tickets=%{2}, shared ticket keys=%{3}, live resumed handshake=%{4}"
已配置,Configured
"Nginx TLS Session 证据：evidence-bound=%{1}，Master PID match=%{2}，resumed handshake P95=%{3}","Nginx TLS session evidence: evidence-bound=%{1}, Master PID match=%{2}, resumed handshake P95=%{3}"
"Nginx TLS Session 样本：总数=%{1}，完成=%{2}，失败=%{3}，fresh=%{4}，resumed=%{5}","Nginx TLS session samples: total=%{1}, completed=%{2}, failed=%{3}, fresh=%{4}, resumed=%{5}"
不适用,"Not applicable"
待验证,"Pending verification"
"Nginx TLS Session Worker：observed=%{1}，effective=%{2}；same=%{3}（resumed=%{4}），cross=%{5}（resumed=%{6}）","Nginx TLS session workers: observed=%{1}, effective=%{2}; same=%{3} (resumed=%{4}), cross=%{5} (resumed=%{6})"
"Nginx TLS Session Reload：同一 Session 跨 reload=%{1}，旧 Worker PID=%{2}，新 Worker PID=%{3}，恢复握手=%{4}","Nginx TLS session reload: same Session across reload=%{1}, previous Worker PID=%{2}, new Worker PID=%{3}, resumed handshake=%{4}"
"共享 Session Cache/Ticket Key 只是配置事实；尚无新连接恢复握手的实测证据。","Shared Session Cache/Ticket Key is only configuration evidence; there is no live evidence of a resumed handshake on a new connection."
"WLS 内部回源：角色=%{1}，协议=%{2}，公网 TLS/ALPN 证据不从 PHP/WLS 推导","WLS internal upstream: role=%{1}, protocol=%{2}; public TLS/ALPN evidence is not inferred from PHP/WLS"
"未找到实例 [%{1}]","Instance [%{1}] not found"
"实例 %{1} control_port=%{2} master_pid=%{3}","Instance %{1} control_port=%{2} master_pid=%{3}"
控制端口无效,"Invalid control port"
连接失败：%{1},"Connection Failed: %{1}"
"首包耗时 %{1}s owner_pid=%{2}","First Packet Time %{1}s owner_pid=%{2}"
"IPC 连通性探测（status）","IPC connectivity detection (status)"
"连接实例控制端口并发送 status，输出耗时与占用 PID","Connect to instance control port and send status, output elapsed time and occupied PID"
"实例名（默认 default）","Instance name (default default)"
探测默认实例,"Probe default instance"
"Session Server %{1}","Session Server %{1}"
"Memory Service %{1}","Memory Service %{1}"
"Memory Service disabled by configuration.","Memory Service disabled by configuration."
"停止全局共享 Session/Memory 服务","Stop global shared Session/Memory service"
停止共享服务,"Stop shared service"
"查看全局共享 Session/Memory 服务状态","View global shared Session/Memory service status"
查看共享服务状态,"View shared service status"
"%{1}: %{2} %{3}:%{4} (pid=%{5}, token=%{6})","%{1}: %{2} %{3}:%{4} (pid=%{5}, token=%{6})"
%{1},%{1}
"启动全局共享 Session/Memory 服务","Start global shared Session/Memory service"
"启动或重启全局共享 Session/Memory 服务","Start or restart the global shared Session/Memory service"
行为,Behavior
"共享服务独立于实例 Master；此命令只管理全局 Session/Memory。","Shared service is independent of the instance Master; this command only manages global Session/Memory."
启动共享服务,"Start shared service"
"%{1} ready: %{2}:%{3} (pid=%{4}, token=%{5})","%{1} ready: %{2}:%{3} (pid=%{4}, token=%{5})"
"Weline Server","Weline Server"
服务器实例列表,"Server Instance List"
没有找到运行中的服务器实例,"No running server instances found"
没有找到任何服务器实例,"No server instances found"
"总计: %{total}  |  Weline: ●%{wrun} ○%{wstop}  |  CLI: ●%{clirun}","Total: %{total}  |  Weline: ●%{wrun} ○%{wstop}  |  CLI: ●%{clirun}"
"[WLS] = Weline Server (高性能)  |  [CLI] = PHP 内置服务器(开发)","[WLS] = Weline Server (High Performance) | [CLI] = PHP Built-in Server (Development)"
═══════════════════════════════════════════════════════════════════════════════,═══════════════════════════════════════════════════════════════════════════════
服务器实例详细列表,"Server Instance Details"
───────────────────────────────────────────────────────────────────────────────,───────────────────────────────────────────────────────────────────────────────
"[%{1}] ● 运行中","[%{1}] ● Running"
"[%{1}] ○ 已停止","[%{1}] ○ Stopped"
"├─ 服务类型   : %{1}","├─ Service type: %{1}"
"├─ 监听地址   : %{1}:%{2}","├─ Listening address: %{1}:%{2}"
"├─ Worker 数  : %{1}","├─ Number of Workers: %{1}"
"├─ 运行模式   : %{1}","├─ Operating mode: %{1}"
守护进程,"Daemon mode"
前台模式,"Foreground mode"
"├─ 启动时间   : %{1}","├─ Startup time: %{1}"
"└─ 运行时长   : %{1}","└─ Running time: %{1}"
"总计：%{1} 个实例","Total: %{1} instance(s)"
"列出所有服务器实例（CLI 和 Weline Server）","List all server instances (CLI and Weline Server)"
"列出所有服务器实例及其状态，包括 Weline Server 和 PHP CLI 服务器","List all server instances and status, including Weline Server and PHP CLI server"
仅显示运行中的实例,"Show running instances only"
显示详细信息,"Show detailed info"
"按类型过滤：weline 或 cli","Filter by type: weline or cli"
"以 JSON 格式输出","Output in JSON format"
显示所有实例,"Show all instances"
"仅 Weline Server","Weline Server only"
"仅 CLI 服务器","CLI server only"
仅运行中,"Running only"
详细信息,"Detailed info"
"检测到端口/拓扑/Worker/SSL 等启动参数变更，restart -r 将自动切换为完整重启。","检测到端口/拓扑/Worker/SSL 等启动参数变更，restart -r 将自动切换为完整重启。"
将先执行平滑停机，再使用新启动参数重新拉起实例。,将先执行平滑停机，再使用新启动参数重新拉起实例。
"检测到服务器已运行，-f 强制模式：单批次重启 Worker（Master 保持运行）...","Detected that the server is already running, -f force mode: single batch restart Workers (Master stays running)..."
"检测到服务器已运行，执行滚动重启（Master 保持运行）...","Detected that the server is already running, performing rolling restart (Master stays running)..."
服务器未运行，正在启动...,"Server is not running, starting..."
"✓ 服务器已在运行中","✓ The server is already running"
实例名称：%{1},"Instance name: %{1}"
如需强制重启服务器，请使用以下命令：,"To force restart the server, use the following command:"
其他操作：,"Other actions:"
"重启 Weline 常驻内存 HTTP 服务器","Restart Weline persistent HTTP server"
"确保 Weline Server 运行中（已运行 -r 时保持 Master 滚动重载，未运行则启动）","Ensure Weline Server is running (if already running with -r, keep Master scrolling reload; if not running, start it)"
"强制重启（保持 Master，滚动重载 Worker）","Force Restart (Keep Master, Rolling Reload Workers)"
"与 -r 同用时：单批次重启 Worker（跳过分批策略）","When used with -r: restart the Worker in a single batch (skipping the batch strategy)"
"公网域名或展示主机；WLS 回源始终监听 127.0.0.1","Public domain or display host; the WLS upstream always listens on 127.0.0.1"
"WLS 明文 HTTP/1.1 回源端口；Nginx 公网端口由 wls.edge.nginx 配置","WLS plaintext HTTP/1.1 upstream port; Nginx public ports are configured by wls.edge.nginx"
"Worker 进程数（默认：4）","Worker count (default: 4)"
确保服务器运行,"Ensure the server is running"
强制重启服务器,"Force Restart Server"
强制单批次重启,"Force single batch restart"
重启并更改端口,"Restart with new port"
"WLS 原生 HTTP/3 构建已退役；公网协议只由 Nginx 提供。","The WLS-native HTTP/3 build is retired; public protocols are provided only by Nginx."
"已退役：WLS 原生 HTTP/3 构建","Retired: WLS-native HTTP/3 build"
"该兼容命令已退役；HTTP/3 仅由包含 ngx_http_v3_module 的 Nginx 提供","This compatibility command is retired; HTTP/3 is provided only by Nginx built with ngx_http_v3_module"
替代命令,"Alternative command"
能力门禁,"Capability gate"
"server:doctor 读取 nginx -V；真实 QUIC 请求通过前不会宣称 HTTP/3 已验证","server:doctor reads nginx -V; HTTP/3 is not reported as verified until a live QUIC request passes"
"每 3 秒刷新","Refresh every 3 seconds"
退出,Exit
"Weline Server 状态","Weline Server status"
"已拒绝 %{1} 份非 v4 endpoint；以下最多显示 10 份，文件保持不变。","已拒绝 %{1} 份非 v4 endpoint；以下最多显示 10 份，文件保持不变。"
"[%{1}] %{2}","[%{1}] %{2}"
"其余 %{1} 份已省略。","其余 %{1} 份已省略。"
没有运行中的服务器实例,"No running server instances"
╔══════════════════════════════════════════════════════════════╗,╔══════════════════════════════════════════════════════════════╗
╚══════════════════════════════════════════════════════════════╝,╚══════════════════════════════════════════════════════════════╝
"● 运行中","● Running"
"◐ 部分运行","◐ Partially running"
"○ 已停止","○ Stopped"
workers,workers
端口范围：,"Port range:"
服务：,Services:
"使用 server:status <name> 查看详细状态","Use server:status <name> to view detailed status"
"使用 server:stop <name> 停止实例","Use server:stop <name> to stop an instance"
"如有残留 endpoint 文件，可执行 server:clean 清理未运行记录","如有残留 endpoint 文件，可执行 server:clean 清理未运行记录"
"实例 [%{1}] 状态","Instance [%{1}] status"
"Worker 数：",Workers:
unknown,unknown
"Master 状态：","Master status:"
"Master 自愈：","Master self-healing:"
进程架构：,"Process Architecture:"
内存：,Memory:
"状态：全部运行中 (%{1}/%{2})","Status: All Running (%{1}/%{2})"
"状态：部分运行 (%{1}/%{2})","Status: Partially Running (%{1}/%{2})"
"状态：全部停止 (%{1}/%{2})","Status: All Stopped (%{1}/%{2})"
"测试请求：curl %{1}/","Test Request: curl %{1}/"
前台/首页,"Frontend / Homepage"
后台入口,"Background entry"
"后台 REST 接口","Background REST API"
"未配置（请在 env.php 中设置 area_routes.rest_backend.prefix）","Not configured (please set area_routes.rest_backend.prefix in env.php)"
"前台 REST 接口","Frontend REST API"
服务访问地址,"Service Access Address"
回源内部地址（当前无可验证公网入口）,回源内部地址（当前无可验证公网入口）
"运行时选择：仅接受 endpoint schema v4，当前记录已拒绝。","运行时选择：仅接受 endpoint schema v4，当前记录已拒绝。"
实际运行时：,"Effective runtime:"
实际运行时选择：,"Effective runtime selection:"
拓扑：,Topology:
数据面：,"Data plane:"
策略：,Policy:
Endpoint：,Endpoint:
共享网关：,共享网关：
边缘降级：,边缘降级：
选择原因：,"Selection reason:"
"原生 WLS 入口排空：","Native WLS edge draining:"
"原生 WLS 备用入口：","Native WLS fallback edge:"
"纯 WLS 备用入口：","纯 WLS 备用入口："
"备用 TLS 地址：","备用 TLS 地址："
路由域名/SNI：,路由域名/SNI：
"当前没有可直接使用的 HTTPS URL；必须提供匹配通配符证书的具体 hostname/SNI。","当前没有可直接使用的 HTTPS URL；必须提供匹配通配符证书的具体 hostname/SNI。"
"高端口不等价于 80/443；请确认 DNS、防火墙或负载均衡可到达该端口。","高端口不等价于 80/443；请确认 DNS、防火墙或负载均衡可到达该端口。"
启动失败详情：,启动失败详情：
"WLS 2.0 网关入口","WLS 2.0 网关入口"
"纯 WLS 降级入口","纯 WLS 降级入口"
"纯 WLS 公网入口","Pure WLS public edge"
回源内部地址（公网状态未知）,回源内部地址（公网状态未知）
回源内部地址,回源内部地址
"● on (默认)","● on (default)"
"● on (env.php)","● on (env.php)"
"○ off (env.php)","○ off (env.php)"
端口：,Port:
首页预热：,"Homepage warmup:"
动态首渲染测量：,"Dynamic first-render measurement:"
未记录,"not recorded"
"Master PID is running, but IPC status did not respond within 0.5s; the control plane may be busy or in an orchestrator full-restart cycle.","Master PID is running, but IPC status did not respond within 0.5s; the control plane may be busy or in an orchestrator full-restart cycle."
"查看 Weline Server 运行状态","View Weline Server status"
"查看服务器实例状态，树形展示所有 Worker 进程","View server instance status, displaying all Worker processes in a tree view"
实例名称（默认显示所有实例）,"Instance name (default shows all instances)"
"Watch 模式：每 3 秒自动刷新，Ctrl+C 退出","Watch mode: automatically refresh every 3 seconds, Ctrl+C to exit"
"显示 WLS 运行时策略、降级原因和优化建议","显示 WLS 运行时策略、降级原因和优化建议"
"与 --doctor 同用时输出 JSON","与 --doctor 同用时输出 JSON"
查看所有实例,"View all instances"
查看指定实例,"View specific instance"
"实时监控（watch 模式）","Real-Time Monitoring (Watch Mode)"
运行时诊断,运行时诊断
清理未运行实例记录,清理未运行实例记录
"清理未运行的 WLS 实例记录","清理未运行的 WLS 实例记录"
未发现可安全清理的未运行实例记录。,未发现可安全清理的未运行实例记录。
"默认 dry-run 未修改任何文件。","默认 dry-run 未修改任何文件。"
"默认 dry-run：发现 %{1} 个可清理实例，但未删除。","默认 dry-run：发现 %{1} 个可清理实例，但未删除。"
可清理实例：%{1},可清理实例：%{1}
未发现需要清理的未运行实例记录。,未发现需要清理的未运行实例记录。
"可使用 server:status 或 server:listing 查看当前实例状态。","可使用 server:status 或 server:listing 查看当前实例状态。"
"已清理 %{1} 个未运行实例记录。","已清理 %{1} 个未运行实例记录。"
已处理实例：%{1},已处理实例：%{1}
"可使用 server:status 或 server:listing 查看清理后的实例状态。","可使用 server:status 或 server:listing 查看清理后的实例状态。"
"清理已无运行进程但仍残留实例文件的 WLS 实例记录","清理已无运行进程但仍残留实例文件的 WLS 实例记录"
"清理那些已经没有运行但仍占着实例文件的 WLS 实例记录","清理那些已经没有运行但仍占着实例文件的 WLS 实例记录"
"执行清理；默认仅 dry-run 检查","执行清理；默认仅 dry-run 检查"
预览未运行实例记录,预览未运行实例记录
确认清理未运行实例记录,确认清理未运行实例记录
清理后查看实例状态,清理后查看实例状态
"停止本项目托管 Nginx","停止本项目托管 Nginx"
"停止本项目 var/server/nginx 下的托管 Nginx 进程","停止本项目 var/server/nginx 下的托管 Nginx 进程"
示例,Example
"安装本项目托管 Nginx","Install per-project managed Nginx"
"本命令可能联网下载钉死版本的 Nginx 源码/压缩包，并写入项目隔离的本地安装根。","This command may download the pinned Nginx source/archive and write it to the project-isolated local install root."
安装失败,安装失败
二进制：%{1},二进制：%{1}
"HTTP 监听：%{1}，HTTPS 监听：%{2}（offset=%{3}）","HTTP 监听：%{1}，HTTPS 监听：%{2}（offset=%{3}）"
"安装本项目托管 Nginx 到项目隔离的本地安装根","Install the project-managed Nginx into its project-isolated local install root"
"按平台下载并安装本项目独立 Nginx 实例；普通 server:start 不会静默下载","按平台下载并安装本项目独立 Nginx 实例；普通 server:start 不会静默下载"
"强制重新获取并按平台重新安装（macOS/Linux 编译，Windows 解压官方预编译包）","Reacquire and reinstall for the current platform (compile on macOS/Linux; extract the official prebuilt package on Windows)"
隔离,隔离
"每个项目使用独立安装根；Windows 固定使用本机 LOCALAPPDATA，避免 UNC/共享盘解压","Each project uses an isolated install root; Windows always uses local LOCALAPPDATA to avoid UNC/shared-volume extraction."
"未配置时使用 8080/8443 + projectPortOffset","未配置时使用 8080/8443 + projectPortOffset"
macOS,macOS
"需 Xcode CLT、OpenSSL 3 与 PCRE2；可执行 brew install openssl@3 pcre2","需 Xcode CLT、OpenSSL 3 与 PCRE2；可执行 brew install openssl@3 pcre2"
Linux,Linux
"需 gcc/make 与 OpenSSL/PCRE 头文件（apt/dnf/apk 对应 *-devel/*-dev）","需 gcc/make 与 OpenSSL/PCRE 头文件（apt/dnf/apk 对应 *-devel/*-dev）"
Windows,Windows
"下载官方 nginx.zip 到本机项目隔离目录；需 ZipArchive 或 PowerShell/tar","Download the official nginx.zip into the local project-isolated directory; requires ZipArchive or PowerShell/tar."
安装,安装
"本项目托管 Nginx 状态","本项目托管 Nginx 状态"
二进制,二进制
项目偏移,项目偏移
安装目录,安装目录
运行目录,运行目录
"查看本项目托管 Nginx 状态","查看本项目托管 Nginx 状态"
"查看本项目托管 Nginx 安装与运行状态","查看本项目托管 Nginx 安装与运行状态"
"JSON 输出","JSON 输出"
"请提供 --upstream=<WLS端口>，例如 --upstream=9981","请提供 --upstream=<WLS端口>，例如 --upstream=9981"
"请提供 --owner=<WLS实例名>，托管 Nginx 不接受未归因的回源接管","Provide --owner=<WLS instance>; managed Nginx refuses unattributed upstream takeover"
"owner 必须是运行中的 Nginx-edge WLS 实例，且其端口必须等于 --upstream","owner must be a running Nginx-edge WLS instance whose port equals --upstream"
"边缘 HTTP：%{1} → %{2}","边缘 HTTP：%{1} → %{2}"
"边缘 HTTPS：%{1}","边缘 HTTPS：%{1}"
"启动本项目托管 Nginx","启动本项目托管 Nginx"
"生成本项目 nginx.conf 并启动托管 Nginx","生成本项目 nginx.conf 并启动托管 Nginx"
"WLS 明文回源端口","WLS 明文回源端口"
"回源主机，默认 127.0.0.1","回源主机，默认 127.0.0.1"
"拥有该托管边缘的 WLS 实例名","WLS instance that owns this managed edge"
"热重载本项目托管 Nginx","热重载本项目托管 Nginx"
"对本项目托管 Nginx 执行 -s reload（证书续签后亦可自动触发）","对本项目托管 Nginx 执行 -s reload（证书续签后亦可自动触发）"
"--tls-version 仅适用于 HTTPS 压测，请同时使用 --ssl 或选择 HTTPS 实例。","--tls-version 仅适用于 HTTPS 压测，请同时使用 --ssl 或选择 HTTPS 实例。"
"--physical-connections 必须是正整数。","--physical-connections 必须是正整数。"
"--physical-connections 必须在 1 到并发数 %{1} 之间。","--physical-connections 必须在 1 到并发数 %{1} 之间。"
"--physical-connections 不能与 --no-keepalive 同时使用；fresh 模式每个请求都必须新建连接。","--physical-connections 不能与 --no-keepalive 同时使用；fresh 模式每个请求都必须新建连接。"
"--max-tls-p95-ms 仅适用于 HTTPS 压测。","--max-tls-p95-ms 仅适用于 HTTPS 压测。"
"--physical-connections 仅用于 HTTP/2 或 HTTP/3 多路复用压测。","--physical-connections 仅用于 HTTP/2 或 HTTP/3 多路复用压测。"
"无法连接到服务器 %{1}:%{2}","Unable to connect to server %{1}:%{2}"
"Managed Nginx 配置 generation 探针不匹配，已拒绝开始压测。","The Managed Nginx configuration generation probe did not match; the benchmark was refused."
"Weline Server 压力测试","Weline Server Stress Test"
"未指定 --path，默认使用轻量端点 %{1} 测 WLS 吞吐；压业务页请显式传 --path /xxx","--path not specified, using lightweight endpoint %{1} by default to measure WLS throughput; to stress test a business page, explicitly pass --path /xxx"
"业务路径压测会执行完整安全策略；X-WLS-Benchmark-Worker 仅用于 Worker 归因，不绕过 Origin Token、封禁、限流或攻击规则。高压前请仅为专用测试源 IP 显式配置 whitelist CIDR。","业务路径压测会执行完整安全策略；X-WLS-Benchmark-Worker 仅用于 Worker 归因，不绕过 Origin Token、封禁、限流或攻击规则。高压前请仅为专用测试源 IP 显式配置 whitelist CIDR。"
内容编码探针失败：%{1},内容编码探针失败：%{1}
"内容编码探针：Content-Encoding=%{encoding}，Vary=%{vary}，wire body=%{wire}B，logical body=%{logical}B","内容编码探针：Content-Encoding=%{encoding}，Vary=%{vary}，wire body=%{wire}B，logical body=%{logical}B"
服务器连接成功，开始压测...,"Server connected successfully, starting stress test..."
"检测到多个运行中的 WLS 实例，已拒绝自动选择，避免误压生产实例。","Multiple running WLS instances were detected; automatic selection was rejected to avoid benchmarking the wrong production instance."
"请使用 --instance <name> 明确指定实例：%{1}","Use --instance <name> to select an exact instance: %{1}"
"未检测到通过 Managed Nginx owner 与公网端口身份门禁的运行实例。","No running instance passed the Managed Nginx owner and public-port identity gates."
"请先完成 WLS 与 Managed Nginx 启动；如只测内部回源，必须显式使用 -p <WLS端口>。","Start WLS and Managed Nginx first; to benchmark only the internal upstream, explicitly use -p <WLS port>."
"或使用 --instance <name> / -p <port> 明确指定压测目标","Or select an explicit benchmark target with --instance <name> / -p <port>"
"实例 [%{1}] 没有通过其公网入口身份与协议策略门禁。","Instance [%{1}] did not pass its public edge identity and protocol-policy gates."
"--instance %{1} 的实际端口是 %{2}:%{3}，与手动端口 %{4} 冲突。","The effective endpoint for --instance %{1} is %{2}:%{3}, which conflicts with manual port %{4}."
"--instance %{1} 的实际 host 是 %{2}，与手动 host %{3} 冲突。","The effective host for --instance %{1} is %{2}, which conflicts with manual host %{3}."
"--instance %{1} 的 endpoint 不是 HTTPS，不能与 --ssl 同时使用。","The endpoint for --instance %{1} is not HTTPS and cannot be combined with --ssl."
"实例 [%{1}] 未运行，已拒绝将端口占用者归因为该实例。","Instance [%{1}] is not running; refusing to attribute the port owner to it."
"实例 [%{1}] 未达到网关压测就绪状态：运行 Gateway Backend %{2}/%{3}。","Instance [%{1}] is not ready for gateway benchmarking: running Gateway Backend %{2}/%{3}."
"实例 [%{1}] 的 WLS health endpoint 已健康；Worker 进程索引为 %{2}/%{3}，公网压测仍需通过当前边缘身份门禁。","The WLS health endpoint for instance [%{1}] is healthy; the Worker process index is %{2}/%{3}, but public benchmarking still requires the current edge identity gate."
"实例 [%{1}] 未达到压测就绪状态：运行 Worker %{2}/%{3}。","实例 [%{1}] 未达到压测就绪状态：运行 Worker %{2}/%{3}。"
"已停止 Worker：%{1}","已停止 Worker：%{1}"
"压测端口必须在 1-65535 范围内。","The benchmark port must be in the 1-65535 range."
"实例 [%{1}] 状态不可读，已拒绝开始压测。","实例 [%{1}] 状态不可读，已拒绝开始压测。"
"--authority-host 与已归因实例的公网 authority 不一致；请使用实例配置中的 %{1}。","--authority-host does not match the attributed instance public authority; use %{1} from the instance configuration."
"手动端口唯一匹配到运行实例 [%{1}] 的 %{2}，报告将使用该实例的 schema v%{3} 运行时元数据。","The manual port uniquely matched %{2} for running instance [%{1}]; the report will use that instance's schema v%{3} runtime metadata."
"WLS 2.0 网关公网入口","WLS 2.0 网关公网入口"
"Managed Nginx 公网入口","Managed Nginx public endpoint"
"内部 HTTP/1.1 回源","Internal HTTP/1.1 upstream"
手动端口匹配到多个实例记录（%{1}）；压测可继续，但报告不归因任何运行时。,"The manual port matched multiple instance records (%{1}); the benchmark can continue, but the report will not attribute any runtime."
"请使用 --instance <name> 消除歧义。","Use --instance <name> to remove the ambiguity."
"手动 host/port 未唯一匹配 Managed Nginx 公网入口或内部 WLS 回源；报告仅记录地址，不伪造运行时证据。","The manual host/port did not uniquely match a Managed Nginx public endpoint or internal WLS upstream; the report records only the address and does not fabricate runtime evidence."
手动指定（未归因）,"Manual target (unattributed)"
"已跳过 %{1} 个无效 WLS 实例记录%{2}","已跳过 %{1} 个无效 WLS 实例记录%{2}"
"该 WLS 备用入口只有通配符路由，自动压测无法推导具体 TLS Host/SNI。","该 WLS 备用入口只有通配符路由，自动压测无法推导具体 TLS Host/SNI。"
监听：%{1}；路由域名：%{2}。请显式提供匹配证书的具体目标域名后重试。,监听：%{1}；路由域名：%{2}。请显式提供匹配证书的具体目标域名后重试。
"--authority-host 必须是不含 scheme、端口或路径的有效主机名/IP。","--authority-host must be a valid hostname or IP without a scheme, port, or path."
"Managed Nginx owner 在正式压测前已变化，已拒绝运行。","The Managed Nginx owner changed before the measured benchmark; execution was refused."
"宿主级 WLS 2.0 网关身份或活动路由在正式压测前已变化，已拒绝运行。","宿主级 WLS 2.0 网关身份或活动路由在正式压测前已变化，已拒绝运行。"
"需要 curl 扩展支持","curl extension required"
"多路复用连接模型：逻辑并发 %{1}，物理连接目标 %{2}，READY Worker 目标 %{3}，每连接 Stream 目标 %{4}/服务端上限 %{5}，MAX_CONCURRENT_STREAMS=%{6}，PIPEWAIT=%{7}","多路复用连接模型：逻辑并发 %{1}，物理连接目标 %{2}，READY Worker 目标 %{3}，每连接 Stream 目标 %{4}/服务端上限 %{5}，MAX_CONCURRENT_STREAMS=%{6}，PIPEWAIT=%{7}"
"进度：%{1}%（完成 %{2}/%{3}，活动请求 %{4}，已发送 %{5}/%{3}，耗时 %{6}s，实时 QPS %{7}）","进度：%{1}%（完成 %{2}/%{3}，活动请求 %{4}，已发送 %{5}/%{3}，耗时 %{6}s，实时 QPS %{7}）"
"压测模式：禁用 keep-alive（更利于分流验证），并发连接数=%{1}","Stress Test Mode: Keep-alive disabled (better for traffic distribution), concurrent connections = %{1}"
"压测模式：%{1} 个隔离多路复用 lane，%{2} 个逻辑 easy handle；lane 内复用、lane 间连接缓存隔离。","压测模式：%{1} 个隔离多路复用 lane，%{2} 个逻辑 easy handle；lane 内复用、lane 间连接缓存隔离。"
"压测模式：启用 keep-alive（性能模式），使用 %{1} 个逻辑 easy handle...","压测模式：启用 keep-alive（性能模式），使用 %{1} 个逻辑 easy handle..."
"物理连接 lane：请求 %{1}，创建 %{2}，实际建连 %{3}，累计新连接 %{4}。","物理连接 lane：请求 %{1}，创建 %{2}，实际建连 %{3}，累计新连接 %{4}。"
"物理连接 lane 未达到请求值（请求 %{1}，实际 %{2}），本次基准无效。","物理连接 lane 未达到请求值（请求 %{1}，实际 %{2}），本次基准无效。"
"Managed Nginx owner 在压测期间发生变化，本次结果无效。","The Managed Nginx owner changed during the benchmark, invalidating this result."
"宿主级 WLS 2.0 网关身份或活动路由在压测期间发生变化，本次结果无效。","宿主级 WLS 2.0 网关身份或活动路由在压测期间发生变化，本次结果无效。"
"%{1} 必须是非负数字。","%{1} 必须是非负数字。"
"%{1} 必须在 %{2} 范围内。","%{1} 必须在 %{2} 范围内。"
压测结果报告,"Benchmark Report"
总请求数：%{1},"Total requests: %{1}"
成功请求：%{1},"Successful requests: %{1}"
失败请求：%{1},"Failed requests: %{1}"
错误率：%{1}%,"Error rate: %{1}%"
"总耗时：%{1} 秒","Total time: %{1} seconds"
"完成 QPS：%{1}","完成 QPS：%{1}"
"成功 QPS：%{1}","成功 QPS：%{1}"
"连接复用估算：新建连接 %{1}/可复用请求 %{2}，复用率 %{3}%","连接复用估算：新建连接 %{1}/可复用请求 %{2}，复用率 %{3}%"
"TLS 握手样本：%{1} 次，P95 %{2}ms","TLS 握手样本：%{1} 次，P95 %{2}ms"
"HTTP 实际协商：%{1}","HTTP 实际协商：%{1}"
"HTTP 协议命中：%{1}","HTTP 协议命中：%{1}"
延迟统计（全部已完成请求，毫秒）,延迟统计（全部已完成请求，毫秒）
平均：%{1},"Avg: %{1}"
最小：%{1},"Min: %{1}"
最大：%{1},"Max: %{1}"
中位数：%{1},"Median: %{1}"
P95：%{1},"P95: %{1}"
P99：%{1},"P99: %{1}"
"Worker 命中分布","Worker hit distribution"
"%{1}：%{2} (%{3}%)","%{1}：%{2} (%{3}%)"
"持久连接会粘滞到已选 Worker；本次仅记录分布，不执行 fresh-connection 均衡门禁。","持久连接会粘滞到已选 Worker；本次仅记录分布，不执行 fresh-connection 均衡门禁。"
分流均衡门禁：PASS（max/min=%{1}，阈值=%{2}）,分流均衡门禁：PASS（max/min=%{1}，阈值=%{2}）
