请先登录,"Please log in first"
"4.1 因质量问题、错发、漏发导致的退换：我们承担合理范围内寄回中国仓库的标准国际运费（按实际核实报销或直免）；加急/保价等增值费用除外。","4.1 Quality/wrong/missing returns: we cover reasonable standard international return freight to China (verified reimbursement or waiver); rush/insurance extras excluded."
"4.2 因个人原因（尺码不合适、不喜欢、拍错）退换：原则上不支持；若依法必须办理，全部回程费用（寄回中国仓库的国际运费、可能产生的出口/进口税费与清关费）由买家承担；换货再发出的运费以客服确认为准。包邮不包含回程。","4.2 Personal-reason returns (wrong size, dislike, wrong order): generally not supported; if the law requires processing, the buyer pays all return costs (international freight to our China warehouse plus any export/import taxes and clearance fees); reship freight for exchanges follows support confirmation. Free shipping excludes returns."
"4.4 跨境退货可能产生目的地出口手续或原进口税费不退等情况，除质量问题且我们书面同意承担外，相关成本由买家自行处理。","4.4 Cross-border returns may involve destination export formalities or non-refundable original import taxes; unless a quality issue and we agree in writing to cover them, those costs are the buyer’s."
汉服形制、交领宽窄、袖型等观感因个人审美差异较大，非质量问题时请优先参考详情页实拍与尺寸，并在期限内申请退换。,"Preferences for Hanfu silhouettes, cross-collar widths and sleeve shapes vary. For non-quality-related concerns, refer to the actual product photographs and measurements, and request any return or exchange within the applicable period."
"1.1 一般情形：中国大陆法定七日无理由退货适用品类从其规定；欧盟/EEA 等强制更长冷静期（如十四日）从其规定。在适用期限内，商品仅试穿未穿着使用、吊牌完整、不影响二次销售的，可申请退货或换货。跨境订单请尽早申请，以便安排寄回中国仓库。","1.1 Our returns policy: You may request a return or exchange for quality issues (damage, workmanship defects, stains, clear mismatch with the description), wrong items, or missing items. Returns for personal preference, wrong color/size, or not wanting the item after a light try-on are generally not supported. Cross-border return shipping is costly—please confirm size and style before ordering."
"1.2 质量问题：做工瑕疵、破损、污渍、尺码与标称明显不符、错发漏发等，不受「未使用」限制，但仍须保留商品与凭证并尽快申报。","1.2 Reporting quality issues: Confirmed quality or wrong/missing-item cases are not limited by “unused,” but keep the goods and proof and report promptly."
"1.4 法规权利：仅当您所在地强制性法律赋予更长冷静期或额外权利时，在该强制范围内从其规定；除此之外以本政策与商品页约定为准。","1.4 Statutory exceptions: Only where your local mandatory law requires no-reason returns or a cooling-off period do those rules apply within that mandatory scope; otherwise this store policy and product-page terms control. For non-quality returns required by law, the buyer pays return freight to our China warehouse plus taxes and customs clearance (unless mandatory law allocates costs otherwise)."
因个人喜好、选错颜色/尺码且已超过无理由期限（质量问题除外）；,"Personal preference, wrong color/size, or not wanting the item after try-on and similar non-quality reasons (unless mandatory law requires otherwise);"
"4.2 因个人原因（尺码不合适、不喜欢、拍错）退换：寄回中国仓库的国际运费、可能产生的出口/进口税费与清关费由买家承担；换货再发出的运费以客服确认为准。包邮不包含回程。","4.2 Personal-reason returns (wrong size, dislike, wrong order): generally not supported; if the law requires processing, the buyer pays all return costs (international freight to our China warehouse plus any export/import taxes and clearance fees); reship freight for exchanges follows support confirmation. Free shipping excludes returns."
"1.1 一般情形：自签收之日起 7 日内，商品仅试穿未穿着使用、吊牌完整、不影响二次销售的，可申请退货或换货。跨境订单请尽早申请，以便安排寄回中国仓库。","1.1 Our returns policy: You may request a return or exchange for quality issues (damage, workmanship defects, stains, clear mismatch with the description), wrong items, or missing items. Returns for personal preference, wrong color/size, or not wanting the item after a light try-on are generally not supported. Cross-border return shipping is costly—please confirm size and style before ordering."
本页说明发货时效、配送范围、运费计算、物流跟踪、签收与异常处理。下单前请完整阅读；商品页若标注预售、定制或特殊物流规则，以商品页为准。,"This page explains dispatch times, delivery coverage, shipping charges, tracking, receipt of goods and delivery issues. Please read it before ordering. Any pre-order, made-to-order or special delivery terms on the product page take precedence."
"1.1 现货订单：付款成功后，我们将在 1–3 个工作日内完成拣货、质检并发出（法定节假日与物流高峰期可能顺延）。","1.1 In-stock orders: After successful payment, we pick, inspect and dispatch your order within 1–3 business days. Public holidays and peak shipping periods may extend this timeframe."
"1.2 预售 / 定制 / 定金商品：发货时间以商品详情页或订单确认信息中的承诺时效为准。若因工艺、面料或尺码确认延迟，我们会通过站内消息或订单备注及时告知。","1.2 Pre-order, made-to-order and deposit items: Dispatch times follow the commitments on the product page or order confirmation. If craftsmanship, fabric availability or size confirmation causes a delay, we will notify you promptly through an on-site message or order note."
"1.3 合并发货：同一收货地址、同一账户的多笔可合并订单，在不影响时效承诺的前提下可能合并为一包裹发出；不可合并的情况（不同仓库、不同承运要求、预售混现货等）将分别发货。","1.3 Combined shipments: Eligible orders placed from the same account to the same delivery address may be sent in one parcel, provided this does not affect the promised dispatch time. Orders that cannot be combined, such as those from different warehouses, with different carrier requirements, or mixing pre-order and in-stock items, will ship separately."
"1.4 缺货与拆单：若部分商品暂时缺货，我们将优先发出有货商品，并就剩余商品给出补发时间或退款方案，不会无故取消整单。","1.4 Stock shortages and split shipments: If some items are temporarily unavailable, we will ship available items first and provide a dispatch date or refund option for the remaining items. We will not cancel the entire order without reason."
"2.1 我们向结算页可选地址提供配送服务，覆盖中国大陆多数省市自治区；港澳台及海外地区是否开通，以结账页可选配送方式及运费计算结果为准。","2.1 We ship to checkout-selectable addresses across most mainland China provinces; Hong Kong/Macao/Taiwan and overseas availability follow checkout carrier options and fee results."
"2.2 偏远地区、岛屿、牧区或需二次中转的地址，可能仅支持指定承运商，时效也可能长于常规区域。","2.2 Remote areas, islands, pastoral regions and addresses requiring onward transfers may be served only by designated carriers. Delivery may take longer than in standard service areas."
"2.3 如收货地址无法派送，客服会与您确认更改地址或安排退款；因地址信息不完整导致的延误，需由买家配合更正。","2.3 If your address cannot be served, our support team will contact you to confirm an alternative address or arrange a refund. If incomplete address details cause a delay, you will need to help us correct them."
"3.1 运费按收货地区、包裹重量/体积、所选配送服务在结账页实时计算，下单前可在结算页查看最终金额。","3.1 Shipping charges are calculated at checkout based on the destination, parcel weight or volume, and selected delivery service. You can review the final amount before placing your order."
"3.2 满足活动门槛（如满额包邮、会员包邮、指定活动）时，结账页会自动减免运费；活动规则以活动页或结算提示为准。","3.2 Shipping discounts are applied automatically at checkout when you meet an offer's conditions, such as a minimum spend, member benefit or eligible promotion. The terms on the offer page or at checkout apply."
"3.3 加急、保价、指定快递、到付等增值服务如有开通，将单独计费并在结算时明示。","3.3 Where available, additional services such as expedited shipping, declared-value protection, a specified carrier or freight-collect delivery are charged separately and clearly shown at checkout."
"3.4 因买家原因（拒收、地址错误、长期无人签收）导致退回的，可能需要买家承担退回运费或补差价后重发。","3.4 If a parcel is returned because of refusal, an incorrect address or prolonged failure to receive it, you may need to pay the return shipping cost or the additional cost of reshipment."
"4.1 发货后，可在「我的订单」查看承运商、运单号与物流节点。部分承运商数据同步可能有 2–12 小时延迟。","4.1 After dispatch, you can find the carrier, tracking number and shipment updates in My Orders. Updates from some carriers may be delayed by 2–12 hours."
"4.2 若运单长时间无更新：请先确认是否逢周末、法定节假日或极端天气；仍无进展时，可通过帮助中心「联系客服」并提供订单号协助查询。","4.2 If tracking has not updated for an extended period, first check for weekends, public holidays or severe weather. If there is still no progress, select Contact Support in the Help Center and provide your order number so we can investigate."
"4.3 请保持下单手机畅通，以便快递员派送与驿站取件通知。需要改派自提点或代收点时，请按承运商短信/App 指引操作。","4.3 Keep the phone number used for your order available for delivery calls and collection notices. To redirect a parcel to a collection point, follow the carrier's text message or app instructions."
签收前请核对外包装是否完好；如有明显破损、浸水、变形，请当场与快递员共同开箱验货并拍照留证，必要时拒收。,"Before accepting delivery, check the outer packaging. If it is visibly damaged, wet or deformed, inspect the contents with the courier and take photographs as evidence. Refuse delivery if necessary."
"运输破损、短少或外包装异常：请尽快（建议签收后 48 小时内）联系客服并保留外包装与运单，以便我们协助向承运商查验与索赔。","Transit damage, shortage, or outer-packaging issues: contact support ASAP (ideally within 48 hours of receipt) and keep packaging and the waybill so we can help the carrier investigate and claim."
商品质量、错发、尺码等问题：售后期限适用「退换政策」与强制性法规，不以运输查验窗限制您的法定权利；请保留吊牌与凭证并尽快申报。,"Quality, wrong item, or sizing issues: after-sales windows follow the Returns Policy and mandatory law and are not limited by the carrier claim window; keep tags/evidence and report promptly."
代收、驿站、快递柜签收视为承运商送达节点。若代收人签收后出现异常，请尽快联系客服，我们将协助向承运商核查。,"Collection by a proxy, pickup station, or locker counts as a carrier delivery event. If issues appear after proxy receipt, contact support quickly and we will help investigate with the carrier."
服装类商品建议在保持吊牌完整、未下水的前提下试穿确认尺码；定制件、剪裁件以商品页说明为准。,"For clothing, we recommend trying items on to check the fit while keeping all tags intact and without washing them. For made-to-order or altered items, refer to the product page."
"6.1 运输途中丢失、严重破损：请提供订单号、运单号、破损照片（含外包装与商品），我们将协调承运商查件并安排补发或退款。","6.1 Lost or seriously damaged in transit: Provide your order number, tracking number and photographs of the damage, including the packaging and items. We will coordinate an investigation with the carrier and arrange a replacement or refund."
"6.2 物流显示已签收但未收到：请先向家人、门卫、邻居及附近驿站确认；仍无法找到时，在「签收」节点后 7 日内联系客服启动查询。","6.2 Marked as delivered but not received: First check with household members, building staff, neighbors and nearby collection points. If the parcel still cannot be found, contact support within 7 days of the delivered status to start an investigation."
"6.3 跨境订单的关税、清关与弃件规则以「配送政策」及结算页税费说明为准。","6.3 For cross-border orders, duties, clearance, and abandonment rules follow the Shipping Policy and checkout tax notices."
"6.4 不可抗力（地震、台风、疫情管制、交通管制等）导致的延误，我们将尽力协调并及时同步进度，但不属于服务质量违约。","6.4 Delays from force majeure (earthquake, typhoon, pandemic controls, traffic controls, etc.) will be coordinated and updated, but are not a service-quality breach."
本页为退货、换货与退款适用条件的权威说明（期限、例外、运费承担）。退款到账路径与时效另见退款政策。下单即表示您已阅读并理解本政策；法律法规另有强制性规定的，从其规定。,"This page is the authoritative statement of return/exchange/refund eligibility (deadlines, exceptions, who pays shipping). Refund payment paths and timing are in the Refund Policy. Placing an order means you have read and understood this policy; mandatory law prevails where it conflicts."
"1.1 一般情形：自签收之日起 7 日内，商品未经穿着使用（或仅试穿）、吊牌完整、不影响二次销售的，可申请退货或换货。","1.1 Our returns policy: You may request a return or exchange for quality issues (damage, workmanship defects, stains, clear mismatch with the description), wrong items, or missing items. Returns for personal preference, wrong color/size, or not wanting the item after a light try-on are generally not supported. Cross-border return shipping is costly—please confirm size and style before ordering."
"1.2 质量问题：存在做工瑕疵、破损、污渍、尺码与标称明显不符、错发漏发等情形的，不受「未使用」限制，但仍需保留商品与凭证并尽快申报。","1.2 Reporting quality issues: Confirmed quality or wrong/missing-item cases are not limited by “unused,” but keep the goods and proof and report promptly."
"1.3 特殊品类：定制/来图定做、剪裁改衣、贴身内衣、已下水洗涤、已拆封的易耗配件、以及商品页明确标注「不支持无理由退换」的特价/清仓商品，适用商品页特别约定；无质量问题通常不支持无理由退换。","1.3 Special categories: Made-to-order or custom-design items, alterations, intimate apparel, washed items, unsealed consumable accessories, and sale or clearance items explicitly marked as ineligible for change-of-mind returns are subject to the specific terms on their product pages. These items generally cannot be returned or exchanged without a quality issue."
"1.4 法规权利：依法适用七日无理由退货的品类，按其法定条件执行；本政策不得减损您依法享有的权利。","1.4 Statutory exceptions: Only where your local mandatory law requires no-reason returns or a cooling-off period do those rules apply within that mandatory scope; otherwise this store policy and product-page terms control. For non-quality returns required by law, the buyer pays return freight to our China warehouse plus taxes and customs clearance (unless mandatory law allocates costs otherwise)."
"4.1 因商品质量问题、错发、漏发导致的退换：往返运费由我们承担（按实际产生且合理的标准运费核实报销或直免）。","4.1 For returns or exchanges caused by quality issues, incorrect items or missing items, we cover shipping in both directions. Reasonable standard shipping charges actually incurred are verified and reimbursed or waived directly."
"4.2 因个人原因（尺码不合适、不喜欢、拍错）退换：寄回运费由买家承担；换货的二次发出运费视活动与商品政策而定，结账或客服确认时会明示。","4.2 Personal-reason returns (wrong size, dislike, wrong order): generally not supported; if the law requires processing, the buyer pays all return costs (international freight to our China warehouse plus any export/import taxes and clearance fees); reship freight for exchanges follows support confirmation. Free shipping excludes returns."
"4.3 到付件：未经同意的到付包裹可能被拒收，因此产生的费用由寄件方承担。","4.3 Freight-collect parcels: Parcels sent with shipping payable by the recipient without prior agreement may be refused. Any resulting charges are the sender's responsibility."
"2.1 我们支持中国大陆多数省市自治区配送。港澳台及海外地区是否开通，以结账页可选配送方式及运费计算结果为准。","2.1 We deliver to most provinces, cities and autonomous regions in mainland China. Availability for Hong Kong, Macao, Taiwan and overseas destinations depends on the delivery methods and shipping quotes shown at checkout."
"签收后请尽快核对商品数量、尺码、颜色与配件是否与订单一致；发现问题请在签收后 48 小时内联系客服并保留外包装与吊牌。","After delivery, promptly check that the quantity, sizes, colors and accessories match your order. If you find a problem, contact support within 48 hours and retain the outer packaging and tags."
代收、驿站、快递柜签收视为送达。若代收人签收后出现异常，请尽快联系客服，我们将协助向承运商核查。,"Delivery accepted by another person, a collection point or a parcel locker is treated as delivered. If a problem arises after someone accepts a parcel for you, contact support promptly so we can help investigate with the carrier."
"6.3 不可抗力（地震、台风、疫情管制、交通管制等）导致的延误，我们将尽力协调并及时同步进度，但不属于服务质量违约。","6.3 Force majeure: For delays caused by events such as earthquakes, typhoons, epidemic restrictions or traffic controls, we will make every effort to coordinate delivery and share updates promptly. Such delays do not constitute a breach of our service-quality commitment."
本页说明退货、换货与退款的适用条件、办理流程、运费承担、到账时效与特殊品类规则。下单即表示您已阅读并理解本政策；法律法规另有强制性规定的，从其规定。,"This page explains eligibility, procedures, shipping costs, refund timing and special-category rules for returns, exchanges and refunds. By placing an order, you confirm that you have read and understood this policy. Any mandatory legal requirements take precedence."
请填写省份,"Enter province"
请填写城市,"Enter city"
请填写区县,"Enter district"
送达时间,"Delivered At"
运费以结算页为准,"Shipping calculated at checkout"
重货,"Heavy goods"
本商品使用重货配送方案，运费以结算页为准,"This item uses heavy-goods shipping; fee calculated at checkout"
选择作用范围,"Select scope"
搜索作用范围,"Search scopes"
折叠,Collapse
展开,Expand
未找到匹配作用范围,"No matching scopes found"
包邮,"Free shipping"
本配送方案为服务级免邮，具体以结算页为准,"This delivery option includes free shipping; final charges are confirmed at checkout."
"费用模板（本页）只定义「怎么算钱」（固定 / 重量 / 体积 / 件数 / 混合），不是「配送方案」。金额一律按站点基础货币录入；结账或其他展示币种由汇率换算，勿为每个货币复制模板。区域相对当前位置差价请在「配送服务 / 航线」配置目的地覆盖与发货锚点，勿在模板里配地区矩阵。多仓拆单时运费按仓分别计算后相加；勿承诺「按距离」计费。仓绑定发货地址后，可在配送服务中一键复制默认站航线到该发货锚点。","Fee templates (this page) only define ""how to price"" (fixed / weight / volume / qty / mixed), not ""shipping scheme"". Amounts always entered in site base currency; checkout or other display currencies convert by FX—do not copy templates per currency. For regional price vs current position, configure destination coverage and ship anchors under ""Shipping service / routes""; do not put region matrices in templates. Multi-WH splits sum freight per WH; do not promise distance-based billing. After WH binds ship-from, one-click copy default-site routes to that ship anchor in shipping services."
支持范围决定该承运商结账时能否运到客户地址。缩减或删错地区后，对应目的地将不再出现该承运商配送方式，可能导致无法下单。请仅保留真实可运区域，保存前务必核对。,"Coverage decides whether this carrier can reach the customer address at checkout. Shrinking or deleting regions removes that carrier’s shipping methods for those destinations and may block orders. Keep only truly shippable areas and double-check before saving."
地址选择器中标为「不支持」的系统禁运国家/地区优先级最高，即使写入承运商覆盖也不会在结账放行。请勿把系统禁运区当作可运范围保存。,"System embargo countries/regions marked ""Unsupported"" in address picker have highest priority; even carrier coverage writes won't allow them at checkout. Do not save system embargo zones as shippable coverage."
"启用承运商前必须配置支持范围。可多选国家→州省→区县；默认保留当前选择，也可改用 Provider 默认区域。费用模板只算运费金额，不含到达地区。","Coverage is required to enable a carrier. Multi-select country → province → district. Current selection is kept by default; uncheck to use provider defaults. Rate templates only price the shipment; they do not define destinations."
"保存时用当前选择覆盖 Provider 默认区域","Keep current selection on save (overrides provider defaults)"
"默认勾选：保存页面上已选范围。取消勾选则改用下方 Provider 默认区域覆盖。","Checked by default: save the ranges selected on this page. Uncheck to replace with provider defaults below."
"Provider 默认区域：","Provider defaults:"
当前已保存：,"Currently saved:"
该快递公司暂不支持在线追踪，请联系客服查询,"This carrier does not support online tracking, please contact customer service"
客服电话：400-xxx-xxxx,"Customer Service: 400-xxx-xxxx"
"费用模板（本页）只定义「怎么算钱」（固定 / 重量 / 体积 / 件数 / 混合），不是「配送方案」。金额一律按站点基础货币录入；结账或其他展示币种由汇率换算，勿为每个货币复制模板。区域相对当前位置差价请在「配送服务 / 航线」配置目的地覆盖与发货锚点，勿在模板里配地区矩阵。","Fee templates (this page) only define ""how to price"" (fixed / weight / volume / qty / mixed), not ""shipping scheme"". Amounts always entered in site base currency; checkout or other display currencies convert by FX—do not copy templates per currency. For regional price vs current position, configure destination coverage and ship anchors under ""Shipping service / routes""; do not put region matrices in templates."
"航线报价 · 相对发货地","Route quote · relative to ship-from"
当前位置=收货地址。发货锚点选默认发货仓；目的地区域决定本航线可达范围。费用模板只算钱；不同目的地不同价请拆多条航线（各绑不同模板）。,"Current position = shipping address. Ship anchor picks default ship-from WH; destination region sets this route's reach. Fee template only computes money; different prices for different destinations need multiple routes (each with different templates)."
支持订单金额、目的地区域，或二者组合（mixed）。系统提供国际通用满额种子模板（标记为「系统」且不可删除）；默认仅启用标准档，可按需启停其它档，避免低门槛覆盖高门槛。,"Supports order amount, destination region, or mixed. System provides international free-shipping threshold seed templates (marked System and non-deletable). Only the standard tier is enabled by default; enable others as needed to avoid a lower threshold overriding a higher one."
"设计说明 · 计费 vs 可达性","Design notes · billing vs reachability"
"费用模板（本页）只定义「怎么算钱」（固定 / 重量 / 体积 / 件数 / 混合），不是「配送方案」。区域相对当前位置差价请在「配送服务 / 航线」配置目的地覆盖与发货锚点，勿在模板里配地区矩阵。","Fee templates (this page) only define ""how to price"" (fixed / weight / volume / qty / mixed), not ""shipping scheme"". For regional price vs current position, configure destination coverage and ship anchors under ""Shipping service / routes""; do not put region matrices in templates."
创建费用模板,"Create expense template"
支持订单金额、目的地区域，或二者组合（mixed）。区域相对收货当前位置祖先命中；会员/券二期。,"Supports order amount, destination region, or mixed. Region hits ancestors relative to current shipping position; membership/coupons phase 2."
配送服务创建成功。,"Delivery service created successfully."
设计说明,"Design note"
"费用模板只定义「怎么算钱」（固定 / 重量 / 体积 / 件数 / 混合），挂到配送服务上使用。它不按到达国家/州省设费率；能否运到某地由承运商「支持范围」与网站可售/禁运决定。若要对不同目的地不同价，请拆多条配送服务（各绑不同模板与承运商），而非在模板里配地区矩阵。","A rate template only defines how to price (fixed / weight / volume / quantity / mixed) and is attached to a shipping service. It is not a per-destination rate matrix. Reachability comes from carrier coverage plus site sellable/embargo rules. For different prices by destination, use multiple shipping services (each with its own template and carrier), not a region matrix inside the template."
当前暂无费用模板配置，请后续在此页面完善配置。,"There are currently no fee templates configured. Please complete the configuration on this page later."
新增配送服务,"New delivery service"
最少天数,"Minimum number of days"
最多天数,"Maximum number of days"
配送服务列表,"Shipping service list"
当前暂无配送服务配置，请后续在此页面完善配置。,"There are currently no delivery service configurations. Please complete the configuration on this page later."
当前暂无免邮规则配置，请后续在此页面完善配置。,"There are currently no free shipping rules configured. Please complete the configuration on this page later."
保存后当前页面会自动刷新地址卡片，不会跳转页面。,"After saving, the current page will automatically refresh the address card without navigating away."
可选,Optional
街道、门牌号、仓库或收件说明,"Street, House Number, Warehouse, or Delivery Instructions"
使用此地址,"Use this address"
暂无国家，请先导入地址库,"No countries yet. Import the address catalog first."
国家代码,"country code"
同步完成，新增国家数量：%{1},"Sync completed, number of new countries: %{1}"
同步失败：%{1},"Sync failed: %{1}"
同步国家数据,"Synchronize country data"
globe,globe
从i18n同步国家数据,"Sync country data from i18n"
配送总览,"Shipping overview"
确定要从i18n同步国家数据吗？,"Are you sure you want to sync country data from i18n?"
从i18n同步国家,"Sync countries from i18n"
"启用承运商前必须配置支持范围。可多选国家→州省→区县；也可一键应用 Provider 默认区域后修改。","Coverage is required to enable a carrier. Multi-select country → province → district. Current selection is kept by default; uncheck to use provider defaults."
配送区域创建成功。,"The delivery area is created successfully."
配送区域管理,"Delivery area management"
查看配送区域,"View delivery area"
查看配送区域列表,"View a list of delivery areas"
保存配送区域,"Save shipping area"
创建配送区域,"Create shipping area"
配送区域,"Shipping Zone"
新增配送区域,"Add new delivery area"
区域名称,"Region Name"
区域代码,"Region Code"
描述,describe
配送区域列表,"Shipping area list"
当前暂无配送区域，请后续在此页面完善配置。,"There are currently no delivery zones configured. Please complete the configuration on this page later."
区域ID,"Region ID"
"配置本作用域不支持配送的国家/州省/城市/区县/街道。此处为黑名单。命中规则为 website ∪ store ∪ channel 并集。","Configure countries/states/cities/districts/streets that this scope does not ship to. This is a blacklist. Hit rule is website ∪ store ∪ channel union."
"地区 ID","Region ID"
"街道 ID","Street ID"
添加,Add
地区ID,"Region ID"
街道ID,"Street ID"
"默认区域 JSON 参考：","Default region JSON reference:"
邮政编码格式不正确，应为6位数字,"Invalid postal code format, should be 6 digits"
管理配送和订单收货时使用的地址。,"Manage addresses used for delivery and order receiving."
点击“新增收货地址”，直接在当前页面维护。,"Click ""Add Receiving Address"" to maintain it directly on the current page."
选择已存地址,"Select a saved address"
了解发货时效、配送范围与签收注意事项。,"Learn about shipping times, coverage, and delivery tips."
发货时效,"Shipping timeline"
"订单支付成功后，我们将在 1–3 个工作日内完成拣货并发出（节假日顺延）。部分预售或定制商品以商品页标注为准。","After payment, we usually pick and ship within 1–3 business days (holidays excluded). Pre-order or custom items follow the product page."
配送范围与运费,"Coverage and shipping fees"
我们支持国内多数省市配送。运费按收货地址、重量与所选配送服务在结账页实时计算；满足活动门槛时可能享受包邮。,"We ship to most domestic regions. Fees are calculated at checkout by address, weight, and service; free shipping may apply for promotions."
物流跟踪与签收,"Tracking and delivery"
发货后可在「我的订单」查看物流单号与节点。请使用下单时填写的联系方式核验包裹；若长时间无物流更新，可先确认是否周末/节假日，或联系客服协助查询。,"Track shipments in My Orders. Use the contact details from checkout to verify packages; if tracking stalls, check holidays or contact support."
了解退换货条件、办理流程与注意事项。,"Learn return eligibility, process, and tips."
适用条件,Eligibility
"自签收之日起 7 日内，未使用、不影响二次销售的商品可申请退换（法规另有规定的除外）。食品、贴身衣物、定制商品等特殊品类以商品页说明为准。","Eligible unused, resalable items may be returned or exchanged within the applicable statutory window (mainland China seven-day no-reason return where required; EU/EEA longer cooling-off such as fourteen days where mandatory), unless law provides otherwise. Special categories such as food, intimate apparel, and custom items follow the product page."
办理流程,"How to return"
登录「我的订单」选择对应订单提交售后申请，按提示填写原因并上传凭证。审核通过后按指引寄回商品；我们确认收货后将尽快完成退款或换货发货。,"Submit a return from My Orders, follow the instructions, and we will refund or reship after receiving the item."
运费说明,"Shipping cost notes"
因质量问题产生的退换，往返运费由我们承担。因个人原因退换，寄回运费由买家承担；换货的二次发出运费视活动与商品政策而定。,"We cover return shipping for quality issues. Buyer-paid return shipping applies for change-of-mind; reship fees depend on policy."
运送地址,"Shipping addresses"
页脚配送说明链接,"Footer shipping info link"
页脚退换政策链接,"Footer returns policy link"
"页脚帮助中心扩展槽：配送说明入口；默认注入 footer-help-links。","Footer help extras: shipping guide; default inject footer-help-links."
"页脚帮助中心扩展槽：退换货政策入口；默认注入 footer-help-links。","Footer help extras: returns policy; default inject footer-help-links."
页脚帮助中心默认展示配送说明,"Footer help center defaults to shipping info"
页脚帮助中心默认展示退换政策,"Footer help center defaults to returns policy"
新增省份名称,"New province name"
新增省份代码,"New province code"
新增区县名称（可选）,"New district name (optional)"
新增区县代码（可选）,"New district code (optional)"
特殊领土（无常驻人口或特殊辖区）,"Special territory (uninhabited / special jurisdiction)"
制裁或贸易限制,"Sanctions or trade restrictions"
美洲,Americas
亚太,"Asia Pacific"
欧洲,Europe
大洋洲,Oceania
拉美,"Latin America"
中东非洲,"Middle East & Africa"
港澳台,"HK / Macau / Taiwan"
其他可达市场,"Other reachable markets"
国内标快,"Domestic Express"
国内重货,"Domestic heavy freight"
国际重货,"International heavy freight"
免邮,"Free shipping"
运费不含关税与税费,"Shipping excludes duties and taxes"
运费已含卖家预估关税（可能另行列示）,"Shipping includes seller-estimated duties (may be shown separately)"
送达时可能另收关税,"Duties may be collected on delivery"
"1.1 发货地为中国大陆仓库。我们向结算页可选的海外及跨境地址提供配送；偏远岛屿、战乱/制裁地区或承运商拒收地址可能无法下单或需加收费用。","1.1 Origin is a mainland China warehouse. We ship to overseas/cross-border addresses available at checkout. Remote islands, conflict/sanctioned areas, or carrier-refused addresses may be unavailable or surchargeable."
跨境购买汉服，请先确认尺码、款式与商品说明。质量问题、描述不符、错发或运输损坏可申请售后；普通商品适用的法定撤回权不会因跨境运输、手工制作或特价而取消。退款金额与到账规则另见退款政策。,"Before buying hanfu internationally, check the size, style and product description. You may request assistance for faulty or misdescribed goods, incorrect items or transit damage. Applicable statutory withdrawal rights for ordinary goods are not removed by international shipping, handcrafting or sale pricing. See our refund policy for refund amounts and timing."
"1.1 跨境售后说明：下单前请确认尺码与款式。正常试穿检查不等于实际穿着使用；跨境回程成本较高，但不自动排除消费者适用的法定撤回权或质量问题救济。","1.1 International returns: Check the size and style before ordering. Trying on an item for normal inspection is different from wearing it in use. International return shipping can be costly, but this does not automatically exclude applicable statutory withdrawal rights or remedies for faulty goods."
"1.3 个性化定制：仅按订单生产、手工制作或选择标准尺码、颜色，不当然属于定制例外。只有按个人尺寸、专属设计等实际制作且满足当地法定条件的商品，才可能不适用撤回权；特价、清仓也不当然排除法定权利。质量问题与描述不符仍可申请救济。","1.3 Personalised goods: Making an item to order or by hand, or selecting a standard size or colour, does not by itself qualify for a personalised-goods exception. Only goods actually made to personal measurements, an exclusive design or similar requirements and meeting local legal conditions may be exempt from withdrawal rights. Sale or clearance pricing does not automatically exclude statutory rights. Remedies for faulty or misdescribed goods remain available."
"1.4 欧盟与英国消费者：适用撤回权的普通商品，通常可在收货后14日内通知我们撤回购买，无需说明理由，并在通知后14日内寄回。真正个性化商品的法定例外须单独判断；其他地区按当地适用权利及下单时约定办理。","1.4 EU and UK consumers: For ordinary goods covered by withdrawal rights, you can generally notify us within 14 days of receipt that you wish to withdraw, without giving a reason, and return the goods within 14 days of that notice. Any statutory exception for genuinely personalised goods is assessed separately. For other regions, applicable local rights and the terms agreed when ordering apply."
超过适用的法定或约定期限后，仅因个人喜好或标准尺码、颜色不合适提出的申请，可能无法办理；在法定撤回期内不适用此限制；,"Requests based solely on a change of mind or an unsuitable standard size or colour may not be accepted after the applicable statutory or agreed return period. This restriction does not apply during a statutory withdrawal period;"
超出检查性质、特征及尺码所必需的使用，可能产生价值减损；正常试穿检查或吊牌缺失不自动取消法定撤回权，任何扣减须有合理依据并符合法律；,"Handling beyond what is necessary to establish the nature, characteristics and size of the goods may reduce their value. Normal inspection or trying on, or a missing tag, does not automatically remove statutory withdrawal rights. Any deduction must be justified and lawful;"
"3.1 提交申请：可通过「我的订单」或联系客服提出退货、换货或退款。质量问题可附照片或视频帮助核查；行使法定撤回权时，清楚通知撤回意愿即可，不要求您说明理由或先取得审批。","3.1 Submitting a request: Use My Orders or contact customer service to request a return, exchange or refund. Photos or videos can help us assess a quality problem. To exercise statutory withdrawal rights, a clear statement that you wish to withdraw is sufficient; you do not need to give a reason or obtain prior approval."
"4.2 非质量原因的直接回程运费，仅在下单前已告知且法律允许时由买家承担。请先确认退货地址与合理寄回方式；不以未披露费用或任意税费扣减限制您的法定权利。","4.2 You pay direct return shipping costs for non-faulty goods only where disclosed before ordering and permitted by law. Confirm the return address and a reasonable shipping method first. Undisclosed charges or arbitrary tax deductions will not be used to restrict your statutory rights."
