主题通知事件,"थीम अधिसूचना इवेंट"
"Weline UI 懒加载组件声明无效：%{1}","Weline UI लेज़ी-लोडेड घटक घोषणा अमान्य: %{1}"
"Weline UI 懒加载组件名无效：%{1}","Weline UI लेज़ी-लोडेड घटक नाम अमान्य: %{1}"
"Weline UI 组件资源声明无效：%{1}","Weline UI घटक संसाधन घोषणा अमान्य: %{1}"
"Weline UI 组件资源缺少 owner、bundles 或 components：%{1}","Weline UI घटक संसाधन में owner, bundles या components अनुपस्थित: %{1}"
"Weline UI 组件资源引用了未定义 bundle：%{1}","Weline UI घटक संसाधन अपरिभाषित bundle का संदर्भ देता है: %{1}"
"Weline UI 组件 bundle 不属于声明模块：%{1}","वेलिन यूई घटक पैकेज घोषणा मॉड्यूल से संबंधित नहीं हैः phn0endph %{1}"
"Weline UI 组件资源名无效：%{1}","Weline UI घटक संसाधन नाम अमान्य: %{1}"
"Weline UI 专用引擎声明无效：%{1}","Weline UI समर्पित इंजन घोषणा अमान्य: %{1}"
"Weline UI 专用引擎缺少 owner、paths 或 consumers：%{1}","Weline UI समर्पित इंजन में owner, paths या consumers अनुपस्थित: %{1}"
"Weline UI 专用引擎越过模块归属边界：%{1}","Weline UI समर्पित इंजन मॉड्यूल स्वामित्व सीमा पार करता है: %{1}"
"Weline UI 路由资源声明无效：%{1}","Weline UI रूट हेतु अमान्य संसाधन घोषणा: %{1}"
"Weline UI 路由引用了未定义专用引擎：%{1}","Weline UI रूट एक अपरिभाषित समर्पित इंजन को संदर्भित करता है: %{1}"
"Weline UI 路由引用了未定义 bundle：%{1}","Weline UI रूट अपरिभाषित bundle संदर्भित करता है: %{1}"
"Weline UI 路由模板路径无效：%{1}","Weline UI में अमान्य रूट टेम्पलेट पथ: %{1}"
"Weline UI 审计目录不存在：%{1}","Weline UI ऑडिट: निर्देशिका मौजूद नहीं: %{1}"
主题布局包含缺少身份的部件，禁止保存或发布。,"थीम लेआउट में ऐसे घटक हैं जिनकी पहचान गायब है; सहेजना या प्रकाशित करना निषिद्ध है।"
"主题部件 %{1} 未注册，禁止保存或发布。","थीम घटक %{1} पंजीकृत नहीं; सहेजना या प्रकाशन निषिद्ध।"
"图片字段 %{1} 仍是旧 URL；请从媒体库重新选择资源后再发布。","छवि फ़ील्ड %{1} अभी भी पुराना URL उपयोग करता है। प्रकाशन से पहले मीडिया लाइब्रेरी से संसाधन फिर चुनें।"
"图片字段 %{1} 缺少可用的 file-image 运行时适配器。","छवि फ़ील्ड %{1} में उपयोग योग्य file-image रनटाइम एडाप्टर गायब।"
"file-image 节点缺少类型化 usage。","'file-image' नोड में टाइप्ड usage अनुपस्थित।"
"file-image 节点缺少可用的运行时适配器。","'file-image' नोड में रनटाइम एडेप्टर अनुपस्थित।"
布局内容不得持久化运行时图片伴生字段：%{1},"लेआउट सामग्री रनटाइम छवि साथी फ़ील्ड संग्रहीत नहीं कर सकती: %{1}"
"动态 <img src> 内容禁止保存，请改用 file-image 类型节点。","डायनामिक <img src> सामग्री सहेजी नहीं जा सकती। कृपया इसके बजाय file-image प्रकार का नोड उपयोग करें।"
主题布局图片内容超过校验上限。,"थीम लेआउट छवि सामग्री सत्यापन सीमा से अधिक है।"
模板文件不存在：%{1},"टेम्पलेट फ़ाइल नहीं मिली: %{1}"
读取模板文件失败：%{1},"टेम्पलेट फ़ाइल पढ़ने में विफल: %{1}"
定时计划参数不完整,定时计划参数不完整
仅支持产品或分类默认产品布局定时,仅支持产品或分类默认产品布局定时
布局选项不存在,布局选项不存在
结束时间必须晚于开始时间,结束时间必须晚于开始时间
计划不存在,计划不存在
只能发布草稿或已发布版本,"केवल ड्राफ़्ट या प्रकाशित संस्करण ही प्रकाशित हो सकते हैं"
部件不存在：%{1},"घटक नहीं मिला: %{1}"
版本不存在：%{1},"संस्करण नहीं मिला: %{1}"
主题不存在：%{1},"थीम नहीं मिली: %{1}"
"Theme 预览主题标识无效。","Theme पूर्वावलोकन: अमान्य थीम पहचानकर्ता।"
"Theme 预览页面类型无效。","थीम पूर्वावलोकन पृष्ठ प्रकार अमान्य है।"
"Theme 预览版本标识无效。","थीम पूर्वावलोकन: अमान्य संस्करण पहचानकर्ता।"
"Theme 预览 Token 无法写入共享缓存。","Theme: पूर्वावलोकन टोकन साझा कैश में नहीं लिखा जा सका।"
"Theme 预览 token 无效。","थीम: अमान्य पूर्वावलोकन टोकन।"
"Theme 预览上下文超过上限。","थीम: पूर्वावलोकन संदर्भ सीमा से अधिक है।"
"Theme 预览上下文字段无效。","Theme: अमान्य पूर्वावलोकन संदर्भ फ़ील्ड।"
"Theme 预览上下文值无效。","Theme: अमान्य पूर्वावलोकन संदर्भ मान।"
"Theme 预览上下文值超过上限。","Theme: पूर्वावलोकन संदर्भ मान सीमा से अधिक।"
"Theme 预览上下文超过大小上限。","Theme: पूर्वावलोकन संदर्भ आकार सीमा से अधिक।"
"主题 %{1} 的 %{2} 页面已成功发布","थीम %{1} का पृष्ठ %{2} सफलतापूर्वक प्रकाशित"
"主题 %{1} 的 %{2} 页面发布失败：%{3}","थीम %{1} का पृष्ठ %{2} प्रकाशित करने में विफल: %{3}"
"CDN 缓存刷新失败（域名：%{1}）：%{2}","CDN कैश रिफ़्रेश विफल (डोमेन: %{1}): %{2}"
"Theme 运行时缺少冻结的 ScopeIdentity。","Theme: रनटाइम पर जमी ScopeIdentity अनुपस्थित।"
激活失败：%{1},"Activation विफल: %{1}"
"Theme Scope 无法解析为 ScopeIdentity。","Theme scope को ScopeIdentity के रूप में पार्स नहीं किया जा सका।"
"Theme Store Mode 无效：%{1}","अमान्य Theme Store मोड: %{1}"
异常：你指定的模板文件所在的模块不存在！模块：%{1}，所使用的模板：%{2},"असामान्य: निर्दिष्ट टेम्पलेट फ़ाइल वाला मॉड्यूल मौजूद नहीं है! मॉड्यूल: %{1}, उपयोग किया गया टेम्पलेट: %{2}"
部件已不可用（定义/模板缺失）：%{1},部件已不可用（定义/模板缺失）：%{1}
"部件渲染失败: %{1} - %{2}","部件渲染失败: %{1} - %{2}"
"部件 ""%{1}"" 已不可用（定义/模板缺失）","部件 ""%{1}"" 已不可用（定义/模板缺失）"
部件已不可用（定义/模板缺失）,部件已不可用（定义/模板缺失）
从当前版本移除,从当前版本移除
"类型化布局值解析缺少冻结的 locale_code。","प्रकार-सुरक्षित लेआउट मान पार्सिंग में जमी locale_code गायब।"
"类型化布局值解析缺少冻结的 ScopeIdentity。","टाइप-सेफ़ लेआउट मान पार्स विफल: फ्रोज़न ScopeIdentity अनुपस्थित।"
"Theme 布局渲染缺少冻结的 ScopeIdentity。","Theme लेआउट रेंडरिंग में जमी ScopeIdentity गायब है।"
目标类型不能为空,"लक्ष्य प्रकार खाली नहीं हो सकता"
全局,वैश्विक
分类商品默认,"श्रेणी हेतु डिफ़ॉल्ट उत्पाद"
开始生成虚拟主题草稿,"वर्चुअल थीम ड्राफ़्ट जनरेट करें"
虚拟主题布局草稿已保存,"वर्चुअल थीम लेआउट ड्राफ्ट सहेजा गया है"
正在生成虚拟主题布局草稿,"वर्चुअल थीम लेआउट ड्राफ़्ट जनरेट हो रहा है"
"虚拟主题 AI 外部副作用在确认前中断，无法安全恢复。","वर्चुअल थीम: एआई बाहरी प्रभावों की पुष्टि से पहले बाधित हो गया; सुरक्षित रूप से पुनर्स्थापित नहीं किया जा सकता।"
"AI 运行时不可用。","AI वर्तमान में अनुपलब्ध है।"
虚拟主题草稿保存失败,"वर्चुअल थीम ड्राफ्ट सहेजने में विफल"
虚拟布局草稿已保存,"वर्चुअल लेआउट ड्राफ़्ट सहेजा गया"
开始生成主题预览图,"थीम पूर्वावलोकन जनरेट शुरू"
主题预览图已保存,"थीम पूर्वावलोकन छवि सहेज दी गई।"
主题预览图生成失败,"थीम पूर्वावलोकन छवि जनरेशन विफल।"
主题预览图生成在确认保存前中断，无法安全恢复。,"थीम पूर्वावलोकन छवि निर्माण पुष्टि से पहले रुक गया और इसे सुरक्षित रूप से पुनर्प्राप्त नहीं किया जा सकता।"
开始翻译主题配置文案,"थीम कॉन्फ़िगरेशन टेक्स्ट का अनुवाद करना शुरू करें"
"主题配置 AI 翻译已生成","थीम कॉन्फ़िगरेशन AI अनुवाद जनरेट हो गया है।"
源语言无效。,"अमान्य स्रोत भाषा।"
"主题配置 AI 翻译在确认前中断，无法安全恢复。","थीम कॉन्फ़िगरेशन AI अनुवाद पुष्टि से पहले बाधित हुआ और सुरक्षित रूप से पुनर्प्राप्त नहीं हो सकता।"
"主题配置 AI 翻译失败。","थीम कॉन्फ़िगरेशन एआई अनुवाद विफल हुआ।"
"AI 输出不是有效 JSON","AI आउटपुट मान्य JSON नहीं है"
虚拟部件校验未通过,"वर्चुअल घटक सत्यापन विफल"
开始微调虚拟部件草稿,"वर्चुअल विजेट ड्राफ़्ट फ़ाइन-ट्यूनिंग शुरू"
开始生成虚拟部件草稿,"वर्चुअल कंपोनेंट ड्राफ्ट बनाने शुरू करें"
智能体进入新一轮思考,"एजेंट सोच के नए चक्र में प्रवेश कर रहा है"
智能体执行失败,"एजेंट का निष्पादन विफल रहा"
智能体响应为空或超过可恢复任务限制,"एजेंट प्रतिक्रिया खाली है या पुनर्प्राप्य कार्य सीमा से अधिक"
"主题 AI 副作用在确认结果前中断，无法安全恢复。","थीम AI प्रक्रिया पुष्टि से पहले बाधित, सुरक्षित पुनर्प्राप्ति असंभव।"
编辑锁活动时间更新失败,"संपादन लॉक अवधि अपडेट करने में विफल।"
继续编辑,"संपादन जारी रखें।"
"%{1} 正在编辑此页面","“%{1} इस पृष्ठ को संपादित कर रहा है"
其他用户,"अन्य उपयोगकर्ता"
编辑锁写入失败,"एडिट लॉक लिखने में विफल।"
已锁定编辑,"संपादन लॉक"
编辑锁释放失败,"संपादन लॉक मुक्त करने में विफल।"
已有其他用户发起接管请求,"किसी अन्य उपयोगकर्ता ने टेकओवर अनुरोध शुरू किया है"
接管请求已在等待处理,"लंबित अनुरोध प्रसंस्कृत हो रहा है।"
编辑锁接管请求写入失败,"संपादन लॉक अधिग्रहण अनुरोध लिखने में विफल।"
"已发送接管请求，等待 %{1} 响应","टेकओवर अनुरोध भेजा, %{1} प्रतिक्रिया की प्रतीक्षा"
当前用户,"वर्तमान उपयोगकर्ता"
请先发送接管请求,"कृपया पहले टेकओवर अनुरोध भेजें।"
您不是接管请求者,"आप अनुरोध आरंभकर्ता नहीं हैं।"
"当前用户仍在活跃，请等待 %{1} 秒后重试","वर्तमान उपयोगकर्ता अभी सक्रिय। पुनः प्रयास से पहले %{1} सेकंड प्रतीक्षा करें।"
编辑锁接管写入失败,"लेखन के लिए संपादन लॉक प्राप्त करने में विफल।"
已成功接管编辑,"एडिट टेकओवर सफल"
编辑锁资源身份无效,"अमान्य एडिट लॉक पहचान।"
编辑锁缺少明确操作人,"संपादन लॉक में स्पष्ट संचालनकर्ता की कमी है"
"Theme 预览布局选项无效。","Theme पूर्वावलोकन: अमान्य लेआउट विकल्प।"
头部部件,"हेडर घटक"
底部部件,"निचला विजेट"
内容部件,"सामग्री कंपोनेंट"
横幅部件,"बैनर कंपोनेंट"
轮播部件,"कैरोसेल कंपोनेंट।"
统计部件,"सांख्यिकी विजेट।"
图表部件,"चार्ट विजेट"
表格部件,"तालिका कंपोनेंट"
"基础组件 / HTML 搭建","मूल कंपोनेंट / HTML बिल्डर"
主题旧部件,"थीम लेगेसी घटक।"
布局代码须为小写字母开头的字母数字下划线短横线,布局代码须为小写字母开头的字母数字下划线短横线
"不能覆盖保留的 default 布局","不能覆盖保留的 default 布局"
布局选项已存在,布局选项已存在
找不到可克隆的产品布局模板,找不到可克隆的产品布局模板
无法创建布局目录,无法创建布局目录
布局文件已存在,布局文件已存在
写入布局文件失败,写入布局文件失败
布局选项不存在或不允许用于当前对象,"लेआउट विकल्प मौजूद नहीं या वर्तमान ऑब्जेक्ट हेतु अनुमत नहीं।"
保存布局选择,"लेआउट चयन सहेजें"
删除布局选择并恢复继承,"लेआउट चयन हटाएँ और इनहेरिटेंस पर लौटें"
回滚布局选择版本,"लेआउट चयन संस्करण वापस करें"
主题布局目标无效,"अमान्य थीम लेआउट लक्ष्य।"
布局源码不能为空,"लेआउट स्रोत कोड खाली नहीं हो सकता"
默认布局不能作为虚拟布局覆盖,"डिफ़ॉल्ट लेआउट वर्चुअल लेआउट ओवरले के रूप में उपयोग नहीं हो सकता।"
"布局模板只能保存页面骨架、slot、hook 和样式，不能包含前端业务交互脚本或直接请求","लेआउट टेम्पलेट केवल पृष्ठ संरचना, स्लॉट, हुक और शैलियाँ सहेज सकते हैं; फ्रंटएंड व्यावसायिक इंटरैक्शन स्क्रिप्ट या प्रत्यक्ष अनुरोध शामिल नहीं कर सकते।"
虚拟布局版本保存成功，但发布失败，当前已发布版本保持不变,"वर्चुअल लेआउट संस्करण सफलतापूर्वक सहेजा, पर प्रकाशन विफल; वर्तमान प्रकाशित संस्करण अपरिवर्तित।"
"复制 CMS 页面草稿布局版本","CMS पृष्ठ ड्राफ़्ट लेआउट संस्करण कॉपी करें"
"复制 CMS 页面发布布局版本","CMS पृष्ठ प्रकाशित लेआउट संस्करण कॉपी करें"
回滚虚拟布局版本,"वर्चुअल लेआउट संस्करण वापस"
备份,बैकअप
恢复原始布局前的自动备份,"मूल लेआउट से पहले का स्वचालित बैकअप पुनर्स्थापित करें।"
来自版本,"संस्करण से"
原始布局,"मूल लेआउट"
恢复到主题模板的原始状态,"थीम टेम्पलेट को मूल अवस्था में पुनर्स्थापित करें।"
"待发布的 Theme 布局版本不存在。","प्रकाशित किए जाने वाला थीम लेआउट संस्करण मौजूद नहीं है।"
"Theme 旧版本发布校验或投影失败。","थीम पुराना संस्करण रिलीज सत्यापन या प्रक्षेपण विफल रहा।"
"Theme 旧版本发布必须位于写意图事务内。","पुराने थीम संस्करण को प्रकाशित करना लिखने के इरादे वाले लेनदेन के भीतर होना चाहिए।"
发布时自动创建,"प्रकाशन पर स्वचालित बनाएँ"
初始版本,"प्रारंभिक संस्करण"
"Theme 布局保存失败。","थीम लेआउट सहेजना विफल।"
"Theme 布局发布失败。","थीम लेआउट प्रकाशन विफल।"
主题布局变体身份无效。,"थीम लेआउट वेरिएंट पहचान अमान्य है।"
"CMS 布局必须指定页面 ID 和精确语言。","CMS लेआउट में पेज ID और सटीक भाषा निर्दिष्ट होनी चाहिए।"
"Theme 布局变体发布失败。","थीम लेआउट वेरिएंट प्रकाशन विफल।"
"复制 Theme target 布局选择","Theme target लेआउट चयन कॉपी करें"
"Theme 布局选择复制失败。","Theme: लेआउट चयन कॉपी करने में विफल।"
"Theme 布局数据复制失败。","थीम लेआउट डेटा कॉपी विफल।"
"Theme 虚拟布局数据复制失败。","थीम: आभासी लेआउट डेटा की प्रतिलिपि बनाने में असफल।"
当前网站没有可用的前台主题。,"वर्तमान वेबसाइट हेतु कोई उपलब्ध फ्रंटएंड थीम नहीं।"
布局身份语言与发布上下文不一致。,"लेआउट भाषा प्रकाशन संदर्भ से मेल नहीं खाती।"
"CMS 布局身份与发布变体上下文不一致。","CMS लेआउट पहचान और प्रकाशन वेरिएंट संदर्भ बेमेल।"
"CMS 图片引用索引身份与发布变体不一致。","CMS छवि संदर्भ अनुक्रमणिका पहचान और प्रकाशन वेरिएंट असंगत।"
"布局身份 Scope 与显式 ScopeIdentity 不一致。","लेआउट पहचान स्कोप स्पष्ट स्कोप पहचान से मेल नहीं खाता।"
"布局发布必须显式指定 ScopeIdentity。","लेआउट प्रकाशन में स्पष्ट रूप से ScopeIdentity निर्दिष्ट होना चाहिए।"
未命名,अनामित
无效的盘引用,"अमान्य डिस्क संदर्भ"
主题盘不存在,"थीम पैलेट मौजूद नहीं।"
"保存主题盘失败：Meta 写入被拒绝（请检查 config_value 长度与主题上下文）","थीम सहेजना विफल: Meta लेखन अस्वीकृत (config_value लंबाई और थीम संदर्भ जाँचें)।"
选用主题盘失败,"थीम नहीं चुनी जा सकी"
"保存主题盘失败：配置值过长（%{len}/%{max}），请减少变更 Token 或缩短取值","सहेजना विफल: कॉन्फ़िगरेशन मान बहुत लंबा है (%{len}/%{max})। कृपया परिवर्तन कम करें या मान छोटा करें।"
"Theme 布局类型化值超过运行时解析上限。","Theme: लेआउट प्रकार मान रनटाइम पार्सिंग सीमा से अधिक।"
"file-image 运行时适配器不可用。","'file-image' के लिए रनटाइम एडेप्टर अनुपलब्ध।"
"Weline UI 预览资源路径无效","Weline UI में अवैध पूर्वावलोकन संसाधन पथ।"
预览模式,"पूर्वावलोकन मोड"
当前页面处于主题预览中，普通导航和提交已暂停。,"वर्तमान पृष्ठ थीम पूर्वावलोकन मोड में है; सामान्य नेविगेशन और सबमिशन अक्षम हैं।"
退出预览,"पूर्वावलोकन बंद करें।"
"Theme does not support %{1} area.","Theme does not support %{1} area."
生成主题预览图失败：%{1},"थीम पूर्वावलोकन जनरेट करने में विफल: %{1}"
"Chrome or Chromium browser was not found.","Chrome or Chromium browser was not found."
"开始 [%{1}] %{2} 预览图...","शुरू [%{1}] %{2} पूर्वावलोकन..."
"Failed to start screenshot process.","Failed to start screenshot process."
启动失败：%{1},"शुरू नहीं हो सका: %{1}"
"Process was terminated.","Process was terminated."
主题预览地址不可用：%{1},"थीम पूर्वावलोकन URL अनुपलब्ध: %{1}"
"✓ %{1} [%{2}] 生成成功","✓ %{1} [%{2}] सफलतापूर्वक जनरेट"
进程退出码：%{1},"प्रक्रिया निकास कोड: %{1}"
"✗ %{1} [%{2}] 生成失败","✗ %{1} [%{2}] जनरेशन विफल"
截图超时（%{1}秒）,"स्क्रीनशॉट का समय समाप्त हो गया (%{1} सेकंड)"
"✗ %{1} [%{2}] 超时","✗ %{1} [%{2}] टाइमआउट"
"Unable to create preview image directory: %{1}","Unable to create preview image directory: %{1}"
"Browser screenshot timed out after %{1} seconds. URL: %{2}","Browser screenshot timed out after %{1} seconds. URL: %{2}"
"Browser screenshot failed. Exit code: %{1}. Output: %{2}","Browser screenshot failed. Exit code: %{1}. Output: %{2}"
"`proc_open` is required to run the screenshot command safely.","`proc_open` is required to run the screenshot command safely."
"Unable to start the Chrome screenshot process.","Unable to start the Chrome screenshot process."
"部件 HTML 为空","部件 HTML 为空"
关闭标签格式错误,关闭标签格式错误
"多余的关闭标签: %{1}","多余的关闭标签: %{1}"
"标签不匹配: 期望 </%{1}>，实际 </%{2}>","标签不匹配: 期望 </%{1}>，实际 </%{2}>"
"未闭合的原始文本标签: <%{1}>","未闭合的原始文本标签: <%{1}>"
"未闭合标签: <%{1}>","未闭合标签: <%{1}>"
"品牌项为空壳（无 logo / 文案）","品牌项为空壳（无 logo / 文案）"
"存在空的 <a> 标签","存在空的 <a> 标签"
"轮播标题疑似泄漏页面 title（Weline_Theme）","轮播标题疑似泄漏页面 title（Weline_Theme）"
"部件内重复 id: %{1}","部件内重复 id: %{1}"
"部件输出含 PHP 错误: %{1}","部件输出含 PHP 错误: %{1}"
"未检测到闭包根类 .%{1}","未检测到闭包根类 .%{1}"
"部件根结构疑似被拆散（缺少 .%{1}）","部件根结构疑似被拆散（缺少 .%{1}）"
示例商品名称,"उदाहरण उत्पाद नाम"
全部,सब
官方商城帮助与客户服务,"आधिकारिक Weline सहायता और ग्राहक सेवा"
"周一至周五 9:00 - 18:00（法定节假日除外）","सोमवार से शुक्रवार, सुबह 9:00 - शाम 6:00 (सार्वजनिक अवकाश छोड़कर)"
"© %{1} Weline Framework. %{2}","© %{1} Weline Framework. %{2}"
保留所有权利,"सर्वाधिकार सुरक्षित"
"严重错误：在 after_render 事件中检测到PHP代码\n\n位置信息：\n  源文件: %{1}\n  来源标识: %{2}\n\n错误说明：\n  在 after_render 事件中，PHP代码应该已经执行，渲染后的HTML中不应该再包含PHP标签。\n  如果仍然看到PHP代码，说明提取的内容来自编译后的模板文件，而不是渲染后的HTML。\n\n解决方案：\n  1. 确保在 after_render 事件中只处理渲染后的HTML内容\n  2. 不要从文件系统读取编译后的模板文件\n  3. 如果 script 标签包含PHP代码，请添加 data-no-extract=""true"" 属性，不提取该标签","गंभीर त्रुटि: after_render इवेंट में PHP कोड पाया गया।

स्थान जानकारी:
  स्रोत फ़ाइल: %{1}
  स्रोत पहचानकर्ता: %{2}

त्रुटि विवरण:
  after_render इवेंट में, PHP कोड पहले ही निष्पादित हो चुका होना चाहिए, और रेंडर किए गए HTML में कोई PHP टैग नहीं होना चाहिए।
  यदि आपको अभी भी PHP कोड दिखाई दे, तो इसका अर्थ है कि निकाली जा रही सामग्री संकलित टेम्पलेट फ़ाइल से है, रेंडर किए गए HTML से नहीं।

समाधान:
  1. सुनिश्चित करें कि after_render इवेंट में केवल रेंडर की गई HTML सामग्री संसाधित हो।
  2. फ़ाइल सिस्टम से संकलित टेम्पलेट फ़ाइलें न पढ़ें।
  3. यदि script टैग में PHP कोड हो, तो निष्कर्षण रोकने के लिए data-no-extract=""true"" विशेषता जोड़ें।"
"严重错误：发现内联样式或脚本残留\n\n位置信息：\n  源文件: %{1}\n  标签类型: <%{2}>\n  行号: 第 %{3} 行，第 %{4} 列\n  字符位置: %{5}\n\n问题代码片段：\n%{6}\n\n错误说明：\n  所有内联样式和脚本都应该被提取到外部文件中。\n  如果某些脚本需要保留在HTML中，请添加 data-no-extract=""true"" 属性。\n\n解决方案：\n  1. 检查为什么该标签没有被提取（可能是提取逻辑问题）\n  2. 如果确实需要保留在HTML中，添加 data-no-extract=""true"" 属性\n  3. 确保标签格式正确，可以被正则表达式匹配","गंभीर त्रुटि: इनलाइन स्टाइल या स्क्रिप्ट मिलीं।

स्थान जानकारी:
  स्रोत फ़ाइल: %{1}
  टैग प्रकार: <%{2}>
  पंक्ति संख्या: पंक्ति %{3}, कॉलम %{4}
  वर्ण स्थिति: %{5}

समस्या कोड अंश:
%{6}

त्रुटि विवरण:
  सभी इनलाइन स्टाइल और स्क्रिप्ट को बाहरी फ़ाइलों में निकाला जाना चाहिए।
  यदि कुछ स्क्रिप्ट HTML में रखने आवश्यक हों, तो data-no-extract=""true"" विशेषता जोड़ें।

समाधान:
  1. जाँचें कि यह टैग क्यों नहीं निकाला गया (संभवतः निष्कर्षण तर्क की समस्या)।
  2. यदि HTML में रखना आवश्यक है, तो data-no-extract=""true"" विशेषता जोड़ें।
  3. सुनिश्चित करें कि टैग प्रारूप सही है और नियमित अभिव्यक्ति से मेल खा सकता है।"
"严重错误：编译后的%{1}文件中检测到PHP代码，这是不允许的\n\n位置信息：\n  源文件: %{2}\n  来源标识: %{3}\n  %{1}内容中的行号: 第 %{4} 行\n  PHP代码位置: 字符位置 %{5}\n\n问题代码片段：\n%{6}\n\n错误说明：\n  主题布局内不允许存在编译后还有PHP代码。\n  编译后的%{1}文件必须是纯%{1}，不能包含任何PHP代码。\n\n正确的做法：\n  1. 使用CSS变量：在模板中定义CSS变量，然后在CSS中使用 var()\n  2. 使用data属性：在HTML元素上设置data属性，然后在JS中读取\n  3. 使用window对象：在模板中设置 window.config = {...}，然后在JS中使用\n  4. 使用标签系统：使用框架提供的标签系统传递数据\n  5. 如果确实需要PHP代码，请添加 data-no-extract=""true"" 属性，不提取该标签","गंभीर त्रुटि: संकलित %{1} फ़ाइल में PHP कोड पाया गया। यह अनुमत नहीं है।

स्थान जानकारी:
  स्रोत फ़ाइल: %{2}
  स्रोत पहचानकर्ता: %{3}
  %{1} सामग्री में पंक्ति संख्या: पंक्ति %{4}
  PHP कोड स्थान: वर्ण स्थिति %{5}

समस्या कोड अंश:
%{6}

त्रुटि विवरण:
  थीम लेआउट में संकलित PHP कोड अनुमत नहीं है।
  संकलित %{1} फ़ाइल शुद्ध %{1} होनी चाहिए और इसमें कोई PHP कोड नहीं हो सकता।

सही प्रथाएँ:
  1. CSS चर उपयोग करें: टेम्पलेट में CSS चर परिभाषित करें और CSS में var() उपयोग करें।
  2. data विशेषताएँ उपयोग करें: HTML तत्वों पर data विशेषताएँ सेट करें और JavaScript में पढ़ें।
  3. window ऑब्जेक्ट उपयोग करें: टेम्पलेट में window.config = {...} सेट करें और JavaScript में उपयोग करें।
  4. टैग सिस्टम उपयोग करें: डेटा पास करने के लिए फ़्रेमवर्क के टैग सिस्टम का उपयोग करें।
  5. यदि PHP कोड नितांत आवश्यक हो, तो निष्कर्षण रोकने के लिए data-no-extract=""true"" विशेषता जोड़ें।"
"Theme 配置读取缺少冻结的 locale。","Theme: कॉन्फ़िगरेशन पढ़ने में जमी locale अनुपस्थित।"
"Theme 配置语言代码无效：%{1}","Theme: अमान्य कॉन्फ़िगरेशन भाषा कोड: %{1}"
产品布局定时边界缓存清理,产品布局定时边界缓存清理
"扫描产品/分类默认布局定时的生效与失效边界，按目标清理详情/FPC 缓存（不写回永久选择）","扫描产品/分类默认布局定时的生效与失效边界，按目标清理详情/FPC 缓存（不写回永久选择）"
"产品布局定时边界处理完成：%{1} 条","产品布局定时边界处理完成：%{1} 条"
产品布局定时边界处理失败：%{1},产品布局定时边界处理失败：%{1}
模板编译文件生成失败：%{1},"टेम्पलेट संकलन फ़ाइल जनरेशन विफल: %{1}"
"Weline UI 审计：扫描 %{1} 个文件","Weline UI ऑडिट: %{1} फ़ाइलें स्कैन"
"Weline UI 审计通过","Weline UI ऑडिट पास हो गया"
"Weline UI 审计失败：%{1} 项违规","Weline UI ऑडिट विफल: %{1} उल्लंघन।"
"审计 Weline UI 2.0 旧依赖、资源归属和性能预算","ऑडिट वेलाइन यूआई 2.0: पुराने निर्भरता, संसाधन स्वामित्व, और प्रदर्शन बजट"
"输出机器可读 JSON","मशीन-पठनीय JSON आउटपुट।"
完整审计,"पूर्ण ऑडिट"
"JSON 审计","JSON ऑडिट।"
"恢复会写回迁移前的字体图标值；请显式使用 --yes 确认。","यह फ़ॉन्ट आइकन मानों को माइग्रेशन से पहले की स्थिति में बहाल करेगा; स्पष्ट पुष्टि के लिए --yes फ़्लैग उपयोग करें।"
"已从快照恢复 %{1} 个图标值，跳过 %{2} 个已被后续修改的值。","स्नैपशॉट से %{1} आइकन मान पुनर्स्थापित, बाद में संशोधित %{2} मान छोड़े गए।"
快照：%{1},"स्नैपशॉट: %{1}"
"按 Weline UI 2.0 图标迁移快照恢复数据","Weline UI 2.0 आइकॉन्स के अनुसार माइग्रेट किए गए स्नैपशॉट का उपयोग करके डेटा को पुनर्स्थापित करें।"
"可选快照路径；默认使用 var/migration/weline-ui-2.0-icons.json","वैकल्पिक स्नैपशॉट पथ; वर/प्रवास/weline-ui-2.0-icons.json में चूक"
确认执行数据恢复,"डेटा रिकवरी की पुष्टि करें"
恢复默认快照,"डिफ़ॉल्ट स्नैपशॉट पुनर्स्थापित करें"
"设置了 -t/--theme 参数，但没有提供主题名称！","-t/--theme पैरामीटर सेट था, लेकिन कोई थीम नाम प्रदान नहीं!"
已取消操作,"संचालन रद्द"
"=== 主题安装 ===","=== थीम इंस्टॉलेशन ==="
未找到可安装的主题,"कोई इंस्टॉल योग्य थीम नहीं मिली"
主题应该位于：%{1},"विषय को यहाँ होना चाहिए: %{1}"
找到以下可安装的主题：,"निम्न इंस्टॉल योग्य थीम मिलीं:"
[已安装],[स्थापित]
[未安装],"[इंस्टॉल नहीं]"
"请选择要安装的主题（输入序号，或输入 0 取消）","कृपया इंस्टॉल हेतु थीम चुनें (संख्या दर्ज, या रद्द हेतु 0)"
无效选择,"अमान्य चयन"
"主题 %{1} 已经安装","थीम %{1} स्थापित हो चुकी है"
是否重新安装？(y/n，默认：n),"पुनर्स्थापित? (y/n, डिफ़ॉल्ट: n)"
扫描主题目录时出错：%{1},"थीम डायरेक्टरी स्कैन करने में त्रुटि: %{1}"
正在安装主题：%{1},"थीम इंस्टॉल की जा रही है: %{1}"
未找到主题：%{1},"थीम नहीं मिली: %{1}"
