AI监控告警,"AI Monitoring Alerts"
"AI请求超时（已设置超时时间为 %d 秒）。这可能是因为：1) 网络连接较慢；2) AI服务响应较慢；3) 请求内容较复杂。建议：1) 检查网络连接；2) 尝试增加超时时间设置；3) 简化请求内容；4) 稍后重试。","The AI ​​request timed out (the timeout has been set to %d seconds). This may be because: 1) the network connection is slow; 2) the AI ​​service responds slowly; 3) the request content is complex. Suggestions: 1) Check the network connection; 2) Try to increase the timeout setting; 3) Simplify the request content; 4) Try again later."
"AI请求超时。这可能是因为：1) 网络连接较慢；2) AI服务响应较慢；3) 请求内容较复杂。建议：1) 检查网络连接；2) 尝试设置合理的超时时间；3) 简化请求内容；4) 稍后重试。","AI request timed out. This may be because: 1) the network connection is slow; 2) the AI ​​service responds slowly; 3) the request content is complex. Suggestions: 1) Check the network connection; 2) Try to set a reasonable timeout; 3) Simplify the request content; 4) Try again later."
"VectorEngine 鍥炬枃妯″瀷娴嬭瘯鍝嶅簲涓虹┖",VectorEngine
该供应商尚未实现向量模型连接测试,"This supplier has not yet implemented vector model connection testing."
文生视频模型测试响应为空,"Text-to-video model test response is empty"
文生音频/音乐模型测试响应为空,"Text-to-audio/music model test response is empty"
该供应商尚未实现文生图模型连接测试,"The supplier has not yet implemented the text-to-image model connection test."
该供应商尚未实现图文模型连接测试,"This supplier has not yet implemented the image-text model connection test."
图文模型测试响应为空,"Image-text model test response is empty"
"供应商 API 基础 URL 不能为空。","Supplier API base URL cannot be empty."
"models 接口返回的不是 JSON","models interface returns not JSON"
内置或模块风格为只读，请克隆后再编辑。,"Builtin or module styles are read-only. Clone before editing."
内置或模块风格为只读，不能禁用。,"Builtin or module styles are read-only and cannot be disabled."
风格不存在。,"Style not found."
内置或模块风格为只读，不能删除。,"Builtin or module styles are read-only and cannot be deleted."
只有内置或模块风格可以通过此入口克隆。,"Only builtin or module styles can be cloned from this endpoint."
手动选择的风格不存在：%{1},"Manual style does not exist: %{1}"
"风格代码不能超过 96 个字符。","Style code cannot exceed 96 characters."
自定义风格必须填写至少两个结构化字段，不能只填写补充说明。,"Custom styles must include at least two structured fields and cannot only contain supplemental notes."
风格名称不能为空。,"Style name is required."
只有自定义风格可以保存到风格库。,"Only custom styles can be saved to the style library."
风格状态必须是启用或禁用。,"Style status must be active or disabled."
只有自定义风格可以从数据库禁用。,"Only custom styles can be disabled from the database."
只有自定义风格可以从数据库删除。,"Only custom styles can be deleted from the database."
适配器代码不能为空。,"Adapter code is required."
缺失的智能体不能启用。,"A missing agent cannot be enabled."
缺失的工具不能启用。,"A missing tool cannot be enabled."
工具不存在：%{1},"Tool does not exist: %{1}"
"AI 请求在确认结果前中断，无法安全重试。","The AI ​​request was interrupted before the result was confirmed and cannot be safely retried."
正在生成回复…,"Generating reply…"
"AI 服务暂时不可用，请检查所选模型和供应商连接后重试。","The AI ​​service is temporarily unavailable, please check the selected model and supplier connection and try again."
没有可用于文本聊天的已激活模型。,"There are no activated models available for text chat."
所选模型不可用于文本聊天。,"The selected model is not available for text chat."
"AI 返回格式异常，无法解析","AI return format is abnormal and cannot be parsed"
流式返回格式异常，无法解析,"Streaming response format is abnormal and cannot be parsed"
聊天服务,"Chat Service"
翻译服务,"Translation Service"
内容生成,"Content Generation"
图片生成,"Image Generation"
数据分析,"Data Analysis"
默认服务,"Default Service"
此模型被用作以下服务的默认模型：%{1},"This model is used as the default model for the following services: %{1}"
"服务类型 %{1} 没有配置默认模型","Service type %{1} has no default model configured"
"模型配置目录不存在: %{dir}","Model configuration directory does not exist: %{dir}"
"处理模型配置文件失败: %{file}, 错误: %{msg}","Failed to process model configuration file: %{file}, error: %{msg}"
无法删除受保护的模型,"Cannot delete protected model"
"删除模型时发生错误: %{msg}","Error occurred while deleting model: %{msg}"
"JSON解析错误: %{err}, 文件: %{file}","JSON parsing error: %{err}, file: %{file}"
"缺少必需字段 %{field} 在文件: %{file}","Missing required field %{field} in file: %{file}"
"缺少必需字段 name 或 model_name 在文件: %{file}","Missing required field name or model_name in file: %{file}"
"缺少必需字段: %{label}","Missing required field: %{label}"
Token价格必须是数字,"Token price must be a number"
默认状态必须是布尔值或0/1,"Default status must be a boolean or 0/1"
"状态值必须是 active 或 inactive","Status value must be active or inactive"
"Model #%{id} not found","Model #%{id} not found"
该模型为系统原始模型，不能删除。如需移除请先取消保护或联系管理员。,"This model is a system original model and cannot be deleted. To remove it, please cancel protection first or contact administrator."
"删除失败: %{msg}","Delete failed: %{msg}"
未配置翻译或通用默认模型,"No translation or universal default model configured"
模型不存在：%{1},"Model does not exist: %{1}"
用户不存在,"User does not exist"
账户余额不足，当前余额：%{1}，需要：%{2},"Insufficient account balance, current balance: %{1}, required: %{2}"
计费账户服务不可用,"Billing account service is unavailable"
"智能体类 %{1} 必须实现 AgentInterface 接口","Agent class %{1} must implement the AgentInterface"
点击前往配置供应商账户,"Click to configure provider account"
点击前往配置API密钥,"Click to configure API key"
点击前往配置模型,"Click to configure model"
点击前往配置,"Click to configure"
API密钥未配置或配置不完整,"API key is not configured or incomplete"
没有可用的%{provider}供应商账户，请先配置供应商账户,"No available %{provider} provider account, please configure provider account first"
没有可用的供应商账户，请先配置供应商账户,"No available provider account, please configure provider account first"
供应商账户信息不完整，缺少：%{field},"Provider account information is incomplete, missing: %{field}"
供应商账户信息不完整，请检查配置,"Provider account information is incomplete, please check configuration"
"AI模型同步完成：%{1}；收集 %{2} 个模型","AI model synchronization completed: %{1}; %{2} models collected"
AI模型同步失败：%{1},"AI model synchronization failed: %{1}"
AI用量审计恢复,"AI usage audit recovery"
恢复因数据库繁忙而延迟的AI供应商用量审计,"Recover AI provider usage audits deferred while the database was busy"
"AI用量审计恢复完成：成功 %{1}，失败 %{2}，隔离 %{3}，跳过 %{4}","AI usage audit recovery completed: %{1} recovered, %{2} failed, %{3} quarantined, %{4} skipped"
"ai:agent:scan 扫描并注册智能体","ai:agent:scan scans and registers agents"
显示帮助信息,"Show help information"
显示详细信息,"Show details"
扫描并注册所有智能体,"Scan and register all agents"
显示详细的扫描过程,"Show detailed scanning process"
"每个智能体必须实现 AgentInterface 接口。","Each agent must implement the AgentInterface."
开始扫描智能体...,"Start scanning agents..."
未发现任何智能体,"No agents found"
工具数,"Number of tools"
最大迭代,"Max Iterations"
个工具,tools
智能体扫描完成,"Agent scan completed"
错误堆栈,"Error Stack"
开始同步AI模型列表...,"Syncing AI model list..."
"%{1} 同步成功：模型 %{2}，更新 %{3}，新增 %{4}，跳过 %{5}","%{1} Synchronization successful: model %{2}, update %{3}, add %{4}, skip %{5}"
"%{1} 同步失败：%{2}","%{1} Synchronization failed: %{2}"
"模型收集完成，共 %{1} 个模型","Model collection completed, total %{1} models"
已跳过模型收集,"Model collection skipped"
请先设置默认测试模型或添加模型,"Please set a default test model or add a model first"
ID,ID
模型信息,"Model information"
价格,price
自配置状态,"Self-configuring state"
自配置连通性,"Self-configuring connectivity"
供应商连通性,"Supplier connectivity"
模型详情,"Model Details"
"未配置独立 API Key，未执行自配置测试","No independent API Key is configured and no self-configuration test is performed."
"VectorEngine 图文模型测试响应为空","VectorEngine graphic model test response is empty"
"用于登记本机或内网 OpenAI 兼容服务（Ollama / LM Studio / vLLM 等）。登记后可在「供应商账户」建账户，再在「模型」中手工填写模型代码。","Used to register local or intranet OpenAI compatible services (Ollama / LM Studio / vLLM, etc.). After registration, you can create an account in ""Supplier Account"" and then manually fill in the model code in ""Model""."
引用,Quote
连通性测试使用；请填写本机已拉取的模型名,"Used for connectivity testing; please fill in the model name that has been pulled by this machine"
本地/自定义供应商接入,"Local/custom provider access"
"用于本机或内网 OpenAI 兼容服务（如 Ollama、LM Studio、vLLM）。","For local or intranet OpenAI-compatible services (Ollama, LM Studio, vLLM)."
"确认本地模型服务已启动，并开启 OpenAI 兼容 API。","Confirm that the local model service has been started and the OpenAI compatible API is enabled."
"在「本地供应商」中登记代码与 Base URL。","Register the code and Base URL in ""Local Supplier""."
"在「供应商账户」中选择该供应商，API Key 可留空。","Select the supplier in ""Supplier Account"" and the API Key can be left blank."
"在「模型」中手工填写模型代码（如 llama3.2）并保存。","Manually fill in the model code (such as llama3.2) in ""Model"" and save it."
"本地服务通常可留空；若服务要求 Key 再填写","Local services can usually be left blank; if the service requires a Key, fill it in again"
"例如 http://127.0.0.1:11434/v1","For example http://127.0.0.1:11434/v1"
"连接失败时请确认本机服务已启动且 Base URL 可达。","When the connection fails, please confirm that the local service is started and the Base URL is reachable."
默认模型用于当用户未指定模型时自动选择。每种服务类型只能设置一个默认模型。,"The default model is used for automatic selection when the user does not specify a model. Only one default model can be set for each service type."
以下模型被设置为默认模型，无法删除：,"The following model is set as the default model and cannot be deleted:"
确认,confirm
确定清除,"Confirm clearing"
已清除！,Cleared!
清除失败！,"Clear failed!"
清除失败：,"Clear failed:"
请求失败！,"Request failed!"
确定初始化,"Confirm initialization"
初始化成功！,"Initialization successful!"
初始化失败！,"Initialization failed!"
初始化失败：,"Initialization failed:"
自定义供应商,"Custom vendor"
操作失败：,"Operation failed:"
网络错误，请稍后重试,"Network error, please try again later."
测试失败：,"Test failed:"
无法激活:,"Unable to activate:"
复制成功！,"Copy successful!"
复制失败：,"Copy failed:"
连接测试成功！,"Connection test successful!"
连接测试失败：,"Connection test failed:"
提示：点击选择AI模型，输入关键词搜索,"Tip: Click to select the AI ​​model and enter keywords to search"
为适配器分别绑定文本推理、文生图、文生视频模型；留空表示该能力不启用。,"Bind the text reasoning, Vincentian graph, and Vincentian video models to the adapter respectively; leaving them blank means that this capability is not enabled."
未找到动作：%{1},"Action not found: %{1}"
正在匹配...,Matching...
匹配失败,"Match failed"
已匹配,Matched
（分数,(score
）,)
未找到匹配风格。,"No matching style found."
按简介匹配风格,"Match Style by Brief"
站点标题,"Site Title"
简介,Brief
描述站点和目标市场,"Describe the site and target market"
匹配风格,"Match Style"
提示：点击选择AI模型，输入关键词搜索（800ms防抖）,"Tip: Click to select an AI model, enter keywords to search (800ms debounce)"
"请提供 prompt。","Please provide prompt."
"generateStream 需要 prompt 与 on_chunk 回调。","generateStream requires prompt and on_chunk callbacks."
未配置翻译默认模型,"Default translation model not configured"
场景配置,"Scene configuration"
