阿里云域名,"Alibaba Cloud Domain"
域名购买失败,"Domain purchase failed"
"购买失败: %{error}","Purchase failed: %{error}"
"欢迎来到 %{title}","Welcome to %{title}"
我们提供优质的产品与服务,"We provide high-quality products and services"
"为什么选择 %{title}","Why choose %{title}"
品质保证,"Quality assurance"
我们致力于提供最优质的产品,"We are committed to providing the highest quality products"
快速配送,"Quick Delivery"
全网快速配送，送货上门,"Fast Delivery Worldwide with Door-to-Door Service"
专业客服,"Professional customer service"
"7x24 小时在线客服支持","7x24 hours online customer service support"
立即开始,"Start Now"
加入我们，体验最佳服务,"Join us and experience the best service."
开始探索,"Start exploring"
"关于 %{title}","About %{title}"
我们的故事,"Our story"
"%{title} 致力于为用户提供优质的产品和服务。%{description}我们相信，通过创新和用心，可以为每个人创造更好的体验。","%{title} is committed to providing users with high-quality products and services. %{description}We believe that through innovation and care, we can create better experiences for everyone."
用户至上,"User first"
始终把用户需求放在第一位,"Always put user needs first"
创新驱动,Innovation-driven
不断探索更好的解决方案,"Continuously explore better solutions"
诚信经营,"Integrity in business"
透明公开，值得信赖,"Transparent and open, trustworthyZXQSEP123QZX"
我们的团队,"Our team"
由一群充满激情的专业人士组成,"Composed of passionate professionals"
随时欢迎您的垂询,"We welcome your inquiries at any time"
如果您有任何问题或建议，请随时与我们联系,"If you have any questions or suggestions, please feel free to contact us."
电子邮件,Email
联系电话,"Contact phone number"
公司地址,"Company Address"
"某市某区某路 123 号","123 Some Road, Some District, Some City"
发送消息,"Send message"
姓名,"Full Name"
邮箱,Email
主题,Topic
留言内容,"Message content"
提交,Submit
信息收集,"Information Collection"
我们收集您提供的信息以改善服务质量,"We collect the information you provide to improve our service quality"
信息使用,"Information Usage"
您的信息将仅用于提供和改善我们的服务,"Your information will only be used to provide and improve our services"
信息保护,"Information Protection"
我们采用适当的安全措施保护您的个人信息,"We implement appropriate security measures to protect your personal information"
第三方分享,"Third-Party Sharing"
除法律要求外，我们不会与第三方分享您的个人信息,"We will not share your personal information with third parties except as required by law"
用户权利,"User rights"
您有权访问、更正或删除您的个人信息,"You have the right to access, correct, or delete your personal information"
服务接受,"Service Accepted"
使用我们的服务即表示您同意本条款,"By using our service, you agree to these terms"
服务变更,"Service changes"
我们保留随时修改服务的权利,"We reserve the right to modify the service at any time"
用户责任,"User responsibility"
您同意合法使用我们的服务，不从事违法活动,"You agree to use our services lawfully and not engage in illegal activities"
知识产权,"Intellectual property"
服务中的所有内容版权归我们所有,"All content in the service is copyrighted by us"
免责声明,Disclaimer
"服务按""原样""提供，不提供任何明示或暗示保证","Service is provided ""as is"" without any express or implied warranty"
退款条件,"Refund Conditions"
商品在未拆封、未经使用的情况下可申请退款,"A refund can be requested if the product is unopened and unused"
退款流程,"Refund Process"
"联系客服后 3-5 个工作日内完成退款","Refund will be processed within 3-5 business days after contacting customer service"
退款方式,"Refund Method"
退款将原路返回至您的支付账户,"The refund will be returned to your payment account via the original method"
特殊情况,"Special Case"
质量问题或物流损坏可随时申请退换,"Returns or exchanges can be requested at any time for quality issues or logistics damage"
"Cookie 政策","Cookie Policy"
"Cookie 简介","Cookie Introduction"
"Cookie 是存储在您设备上的小文件，用于改善用户体验","Cookies are small files that are stored on your device to improve the user experience"
"Cookie 用途","Cookie Purpose"
"我们使用 Cookie 来记住您的偏好设置和分析网站流量","We use cookies to remember your preferences and analyze website traffic"
"Cookie 管理","Cookie Management"
"您可以在浏览器中禁用 Cookie，但这可能影响网站功能","You can disable cookies in your browser, but this may affect website functionality"
博客,Blog
阅读我们的最新文章,"Read our latest article"
分享行业资讯与技术见解,"Share industry insights and technical perspectives"
全部分类,"All Categories"
全部时间,"All Time"
最新发布,"Latest Release"
阅读全文,"Read full article"
按分类浏览文章,"Browse articles by category"
技术文章,"Technical Articles"
行业动态,"Industry Trends"
产品更新,"Product Update"
文章详情,"Article Details"
编辑团队,"Edit team"
"约 5 分钟阅读","About a 5-minute read"
本文将介绍相关内容,"This article will cover related content"
目录,Directory
总结,Summary
希望本文对您有所帮助,"We hope this article is helpful to you"
分享这篇文章,"Share this article"
相关阅读,"Related reading"
在此添加您的自定义内容,"Add your custom content here"
可编辑的文本区域,"Editable Text Area"
占位图,"Placeholder Image"
了解更多,"Learn More"
页面内容占位,"Page content placeholder"
建议添加产品展示区域，突出核心卖点,"Suggestion: Add a product display area to highlight core selling points"
添加客户评价区，增强信任感,"Add Customer Review Section to Build Trust"
建议添加团队成员详细介绍,"Suggestion: Add detailed introductions for team members"
添加公司历程时间线展示,"Add Company Timeline Display"
建议集成在线客服插件,"Suggestion: Integrate an online customer service plugin"
添加地图组件展示公司位置,"Add Map Component to Display Company Location"
可根据实际业务调整文案和图片,"Adjust copy and images based on actual business needs."
"Combination of keywords with hyphen for readability","Combination of keywords with hyphen for readability"
"Short brandable name, easy to type and remember","Short brandable name, easy to type and remember"
"Direct keyword-based domain, clear and descriptive","Direct keyword-based domain, clear and descriptive"
准备中,Preparing
"DNS 解析中","DNS resolution in progress"
验证中,Verifying
"SSL 证书中","In SSL certificate"
"CDN 部署中","CDN deployment"
等待中,Waiting
排队中,Queuing
进行中,"In Progress"
域名购买已排队，等待启动,"Domain purchase queued, waiting to start"
域名购买流程进行中,"Domain purchase process in progress"
域名购买与域名接入已完成,"Domain purchase and domain onboarding completed"
域名购买流程失败,"Domain purchase process failed"
准备启动域名购买,"Preparing to start domain purchase"
工作区会话不存在或无权限,"Workspace session does not exist or no permission"
请先填写有效的目标域名,"Please fill in a valid target domain first"
请先选择域名购买服务商账号,"Please select a domain purchase service provider account first"
域名购买流程已在后台运行,"Domain purchase process is already running in the background"
当前域名购买流程已完成,"Current domain purchase process completed"
域名购买已排队，正在尝试恢复执行,"Domain purchase queued, attempting to resume execution"
"已排队购买 %{domain}，后台流程即将启动","Queued purchase of %{domain}, background process will start soon"
本地模拟已开启：已跳过真实域名商流程并标记为完成,"Local simulation enabled: Skipped the real domain provider process and marked as complete."
域名购买长连接已启动,"Domain purchase long connection established"
域名完备,"Domain complete"
域名购买执行令牌已过期，请重新发起购买,"Domain purchase execution token has expired, please re-initiate the purchase"
"开始购买域名 %{domain}","Starting domain purchase %{domain}"
"Local demo: simulated domain purchase and bootstrap resources","Local demo: simulated domain purchase and bootstrap resources"
"Local demo: waiting for simulated DNS propagation","Local demo: waiting for simulated DNS propagation"
"Local demo: simulated DNS resolution and certificate issuance","Local demo: simulated DNS resolution and certificate issuance"
"Local demo: domain purchase flow completed","Local demo: domain purchase flow completed"
正在提交域名购买请求,"Submitting domain purchase request"
"域名购买成功，正在推进 DNS 与证书流程","Domain purchase successful, proceeding with DNS and certificate process"
生命周期订单创建失败,"Lifecycle order creation failed"
生命周期订单已建立，正在持续推进域名接入,"Lifecycle order has been established, continuing to progress domain onboarding"
域名生命周期推进失败,"Domain lifecycle advancement failed"
域名购买流程等待超时，请稍后在工作台继续查看进度,"Domain purchase process wait timed out, please check progress later in the workspace"
待启动,"To start"
已排队,Queued
"切换 DNS","Switch DNS"
等待解析,"Waiting for resolution"
访问验证,"Access Verification"
"切换 CDN","Toggle CDN"
"申请 HTTPS","Apply for HTTPS"
流程失败,"Process Failed"
域名已提交购买，等待同步到本地,"Domain purchase submitted, waiting to sync locally"
"域名已购买，正在切换 DNS","Domain purchased, switching DNS"
"DNS 已切换，等待解析生效到当前服务器","DNS has been switched, waiting for resolution to take effect to the current server"
解析已生效，正在验证域名可访问性,"Parsing has taken effect, verifying domain accessibility"
"访问验证已通过，正在切换 CDN","Access Verification Passed, Switching CDN"
"访问验证已通过，正在申请 HTTPS 证书","Access Verification Passed, Requesting HTTPS Certificate"
域名购买、解析与证书流程已完成,"Domain purchase, resolution, and certificate process completed"
域名接入流程失败,"Domain onboarding process failed"
域名接入流程进行中,"Domain onboarding process in progress"
"admin_user_id must be greater than 0","admin_user_id must be greater than 0"
"Invalid local pool id","Invalid local pool id"
"The selected local pool domain is no longer available","The selected local pool domain is no longer available"
"Reserved local domain: %{domain}","Reserved local domain: %{domain}"
"Starting plan generation","Starting plan generation"
"Plan generation completed","Plan generation completed"
"AI service is not available for plan generation","AI service is not available for plan generation"
"AI plan generation failed: %{message}","AI plan generation failed: %{message}"
已接入,Connected
查看此流程,"View This Process"
"已为你创建一个可恢复的 AI 建站工作区。你可以先整理需求、阶段与 scope，再按当前 provider 继续推进。","A recoverable AI website building workspace has been created for you. You can first organize requirements, stages, and scope, then proceed with the current provider."
"未找到 provider 描述，当前按兼容模式展示。","Provider description not found, currently displaying in compatibility mode."
兼容模式,"Compatibility mode"
"已为你创建兼容模式工作区。后续可继续补充 scope 并接入更完整的 provider 配置。","A compatibility mode workspace has been created for you. You can continue to supplement the scope and integrate a more complete provider configuration later."
"兼容 provider","Compatible provider"
"先让 AI 理清需求、推荐域名和购买服务商，你只需要做确认。","First, let the AI clarify requirements, recommend domains, and purchase service providers; you only need to confirm."
"AI 会先给你一份建站简报、域名和服务商建议，确认后再进入页面生成。","AI will first give you a website building briefing, domain name and service provider suggestions, and then enter the page generation after confirmation."
确认基础方案，进入页面生成,"Confirm the basic plan and proceed to page generation"
简单描述你要做什么站,"Briefly describe what site you want to build"
"AI 推荐域名和购买服务商","AI recommends domain names and purchase service providers"
先定页面类型，再定主题方向，再生成内容，尽量做到少点几次就能继续。,"First, determine the page type, then the theme direction, then generate content, minimizing the number of clicks needed to proceed."
"AI 页面建议","AI page suggestions"
"AI 会先给出默认页面结构、主题方向和关键内容组件，你只需要决定是否采用。","AI will first give you a default page structure, theme direction and key content components, and you just need to decide whether to adopt them."
确认页面方案，进入完成,"Confirm the page scheme and proceed to completion"
"默认页面类型先由 AI 推荐","Default Page Type First Recommended by AI"
"可直接用 AI 推荐主题，或换成已有模板","You can directly use an AI-recommended theme, or switch to an existing template."
"Header / Footer 固定，主体内容支持 AI 生成","Header / Footer is fixed, the main content supports AI generation"
等待域名和证书等准备就绪，然后预览、回退或继续交付。,"Waiting for domain and certificate to be ready, then preview, roll back, or continue delivery."
"AI 检查建议","AI inspection recommendations"
"AI 建议先预览首页和关键转化页，再决定是否回到上一阶段调整。","AI recommends previewing the homepage and key conversion pages before deciding whether to return to the previous stage for adjustments."
等待域名购买、解析、证书生成到可用,"Waiting for domain purchase, DNS resolution, and certificate generation to be available"
可以直接预览,"You can preview directly"
不满意时可一键回退,"You can go back with one click if you are not satisfied"
"provider_code 不能为空","provider_code cannot be empty"
"admin_user_id 必须大于 0","admin_user_id must be greater than 0"
当前环境未启用主题模块，无法保存虚拟主题,"The theme module is not enabled in the current environment, so the virtual theme cannot be saved."
虚拟主题已保存到数据库,"Virtual theme saved to database"
页面类型不能为空,"Page type cannot be empty"
无法加载虚拟主题,"Unable to load virtual theme"
页面类型布局已保存到数据库虚拟主题,"Page type layout saved to database virtual theme"
请先保存虚拟主题，再保存组件,"Please save the virtual theme first, then save the component"
"主题 AI 草稿服务不可用","Topic AI draft service is not available"
组件模板内容不能为空,"Component template content cannot be empty"
"AI 组件已保存并发布到虚拟主题","AI component saved and published to virtual topic"
"阿里云域名 API HTTP %{code}：%{body}","Alibaba Cloud Domain API HTTP %{code}: %{body}"
"阿里云 API 返回异常：%{1}","Alibaba Cloud API returned an error: %{1}"
"Route53 Domains HTTP %{code}：%{body}","Route53 Domains HTTP %{code}：%{body}"
"Route53 Domains 返回非 JSON：%{1}","Route53 Domains returned non-JSON: %{1}"
"Route53 Domains 请求失败","Route53 Domains request failed"
开发环境模拟证书已签发：%{domain},"Development environment simulation certificate issued: %{domain}"
"域名尚在开通或注册流程中。公网仍显示注册商默认解析很常见，不代表注册失败；流程结束后会按配置处理 DNS，无需仅凭当前 NS 判断注册是否成功。","The domain is still in the process of activation or registration. It is common for the public network to still show the registrar's default NS records, which does not indicate registration failure. Once the process is complete, DNS will be handled according to the configuration; there is no need to judge registration success solely based on the current NS."
"当前权威 NS 为 Gname 高防/托管 DNS（如 a/b.share-dns），表示解析仍由注册商侧权威托管（非误判）。若目标为 Cloudflare DNS-01，须将注册局 NS 改为 *.ns.cloudflare.com 并等待全球传播。","Authoritative NS is Gname high-protection/hosted DNS (e.g. a/b.share-dns)—this is registrar-side authority, not a false read. For Cloudflare DNS-01, delegate the domain at the registrar to *.ns.cloudflare.com and wait for propagation."
"当前权威 Nameserver 已指向 Cloudflare，解析由 Cloudflare 接管。","Authoritative nameservers already point to Cloudflare; DNS is served by Cloudflare."
"DNS 与注册商一致（默认托管）。公网多为注册商提供的解析，一般表示域名已注册；若要使用 Cloudflare 等，需在注册商处修改 NS 并等待全球生效。","DNS consistent with registrar (default hosting). Most public networks provide resolutions provided by registrars, which generally indicate that the domain name has been registered; if you want to use Cloudflare, etc., you need to modify the NS at the registrar and wait for it to take effect globally."
"暂无法从当前数据判断公网 DNS 归属。未拉取的域名请以注册商后台或 dig NS 为准；拉取后仍会随同步更新。","Unable to determine the public DNS ownership from current data. For domains not pulled, please refer to the registrar backend or use dig NS; after pulling, it will still update with synchronization."
"当前检测为注册商侧或与其关联的 DNS。若与目标服务商不一致，请检查是否已在注册商处修改 NS 并等待传播。","Currently detected as the registrar's or its associated DNS. If it does not match the target service provider, please check if NS has been modified at the registrar and wait for propagation."
"当前解析由第三方 DNS 提供（非注册商默认）。若添加记录失败，请到该 DNS 服务商控制台操作。","Current resolution is provided by a third-party DNS (not the registrar's default). If adding records fails, please operate in the DNS provider's console."
"目标账户 %{1} 不支持 DNS 管理","Target account %{1} does not support DNS management"
"域名 %{1} 未关联注册商账户，无法切换","Domain %{1} is not linked to a registrar account and cannot be switched"
"注册商账户 ID %{1} 不存在","Registrar account ID %{1} does not exist"
"注册商适配器 %{1} 不存在","Registrar adapter %{1} does not exist"
"从原 DNS 托管账户拉取记录到本地（将推送到目标账户 %{1}，源账户 ID %{2}）","Pulling DNS records from the previous DNS hosting account into local DB (will push to target %{1}, source account ID %{2})"
"[步骤1] 原 DNS 托管账户拉取失败，将改从注册商同步：%{1}","[Step 1] Failed to pull from previous DNS hosting account; falling back to registrar sync: %{1}"
"原 DNS 托管账户未返回可写入记录，改为从注册商同步","Previous DNS hosting account returned no records; syncing from registrar instead"
"从注册商同步 DNS 记录到本地","Sync DNS records from registrar to local"
"[步骤1] 同步记录（非致命）：%{1}","[Step 1] Synchronized logging (non-fatal): %{1}"
"DNS 记录同步完成，新增 %{1} 条，更新 %{2} 条","DNS record synchronization completed, new %{1} items were added, %{2} items were updated"
"[DnsSwitchService] %{1} Step1: 从 %{2} 同步记录完成，added=%{3}，updated=%{4}","[DnsSwitchService] %{1} Step1: From %{2} Synchronization record completed, added=%{3}, updated=%{4}"
"获取目标 Nameserver（%{1}）","Fetch target Nameserver (%{1})"
"[DnsSwitchService] %{1} 获取目标 NS 失败：%{2}","[DnsSwitchService] %{1} Failed to get target NS: %{2}"
"目标 NS：%{1}","Target NS: %{1}"
"[DnsSwitchService] %{1} Step2: 目标 NS=%{2}","[DnsSwitchService] %{1} Step2: Target NS=%{2}"
"当前已是同注册商 DNS（%{1}），无需调用修改 NS 接口；直接同步/推送记录。","It is already the same registrar DNS (%{1}), no need to call the modify NS API; directly sync/push records."
"注册商登记的 NS 已与目标 DNS 一致，跳过修改 NS 接口；直接同步/推送记录。","The NS registered with the registrar already matches the target DNS, skipping the NS modification API; directly syncing/pushing records."
"[DnsSwitchService] %{1} Step3: 同服务商跳过 NS 修改（注册商=%{2}）","[DnsSwitchService] %{1} Step3: Skip NS with the same service provider Modify (Registrar=%{2})"
"[DnsSwitchService] %{1} Step3: 注册商 NS 已与目标一致，跳过改 NS 接口","[DnsSwitchService] %{1} Step3: The registrar NS is consistent with the target, skip changing the NS interface"
"在注册商 %{1} 切换 NS（注册局委派，仅此路径生效）","At registrar %{1}: change delegated NS (registry delegation—only this path applies)"
"NS 切换失败","NS switching failed"
"[DnsSwitchService] %{1} NS 切换失败：%{2}","[DnsSwitchService] %{1} NS switch failed: %{2}"
"NS 切换接口返回成功（%{1}），正在校验注册商侧是否已生效…","NS switching interface returns success (%{1}), verifying whether the registrar side has taken effect..."
"[DnsSwitchService] %{1} Step3: NS API 成功，开始注册商侧轮询校验","[DnsSwitchService] %{1} Step3: NS API is successful, start polling verification on the registrar side"
"注册商 getDomainDetail 不支持，无法二次校验 NS，请自行在注册商确认 NS 已为目标值","Registrar getDomainDetail is not supported, unable to perform secondary NS verification. Please confirm the NS has been set to the target value in the registrar console."
"注册商 NS 查询异常（已重试）：%{1}","Registrar NS query exception (retried): %{1}"
"[DnsSwitchService] %{1} 注册商 NS 校验异常：%{2}","[DnsSwitchService] %{1} Registrar NS verification exception: %{2}"
"NS 切换后无法从注册商读取当前 NS，请检查 API 权限或稍后重试：%{1}","The current NS cannot be read from the registrar after NS switching, please check API permissions or try again later: %{1}"
(空),(null)
"NS 修改接口返回成功，但注册商侧多次查询后 NS 仍未变为目标值（当前：%{1}，目标：%{2}）。Gname 等平台可能需人工在控制台确认；在注册商处真正改 NS 之前，勿认为已切换成功。","The NS modification interface returned successfully, but after multiple queries on the registrar side, NS has not changed to the target value (current: %{1}, target: %{2}). Platforms such as Gname may require manual confirmation on the console; do not assume that the switch has been successful until the NS is actually changed at the registrar."
"[DnsSwitchService] %{1} NS 注册商校验失败：current=%{2} target=%{3}","[DnsSwitchService] %{1} NS registrar verification failed: current=%{2} target=%{3}"
"注册商处登记的 NS 已是目标值（注册局侧已更新或同步中）。公网 dig/nslookup 仍显示旧 NS（如 share-dns）很常见，不代表失败。","The NS registered with the registrar is already the target value (updated or syncing on the registry side). It is common for public dig/nslookup to still show the old NS (e.g., share-dns); this does not indicate failure."
"[步骤2] 开始等待 NS 生效，每 %{1} 秒检测，最多 %{2} 分钟","[Step 2] Start waiting for NS to take effect, detecting every %{1} seconds, up to %{2} minutes"
已由用户断开,"Disconnected by user"
"等待 NS 生效超时（%{1} 分钟），请稍后在「管理 DNS」中检查并手动搬迁记录","NS propagation timeout (%{1} minutes). Please check and manually migrate records in ""Manage DNS"" later."
"推送 DNS 记录到目标账户 %{1}","Push DNS records to target account %{1}"
"推送完成：成功 %{1}，失败 %{2}","Push finished: %{1} succeeded, %{2} failed"
"[DnsSwitchService] %{1} Step4: push success=%{2}, added=%{3}, failed=%{4}","[DnsSwitchService] %{1} Step4: push success=%{2}, added=%{3}, failed=%{4}"
"同步并校验 DNS 记录","Sync and verify DNS records"
"[DnsSwitchService] %{1} 同步/校验记录失败：%{2}","[DnsSwitchService] %{1} Sync/verify records failed: %{2}"
同步/校验记录失败：%{1},"Failed to sync/verify records: %{1}"
"已从目标 DNS 控制台同步记录，共 %{1} 条（核对的是 Cloudflare 等面板里的记录，不是「公网解析是否已走新 NS」）。","Synced %{1} records from target DNS console (verified against records in panels like Cloudflare, not whether public resolution has switched to new NS)."
"Cutover：本机 NS 仍为「%{1}」，DoH 已指向目标「%{2}」。委派仅经注册商 Step3 生效；DoH 与等待步骤同为传播观测，准予 dns_cutover_complete。","Cutover: local NS still 「%{1}」, DoH points to target 「%{2}」. Delegation was set via registrar Step3 only; DoH matches wait-step propagation probe—granting dns_cutover_complete."
"注册商或目标面板可能已显示新 NS，但公网权威 NS（与 dig/nslookup 一致）尚未指向 %{1}。已保持 dns_switch_pending=1、dns_cutover_complete=0，DnsCdnAutoSwitch 将重试；证书申请在 cutover 完成前不会进入队列。","The registrar or target panel may already show new NS, but public authoritative NS (same as dig/nslookup) does not yet point to %{1}. Keeping dns_switch_pending=1 and dns_cutover_complete=0; DnsCdnAutoSwitch will retry; certificate issuance stays blocked until cutover completes."
"[DnsSwitchService] %{1} Step6: 推迟 cutover（公网权威 NS 未指向 %{2}）。live_ns=%{3}","[DnsSwitchService] %{1} Step6: deferred cutover (public authoritative NS not yet pointing to %{2}). live_ns=%{3}"
"[DnsSwitchService] %{1} Step6: 域名标记已更新","[DnsSwitchService] %{1} Step6: The domain name tag has been updated"
"落库摘要：待传播完成后再将 dns_cutover_complete 置 1；证书队列仍关闭。定时任务 DnsCdnAutoSwitch 会重试检测公网权威 NS。","Persisted: cutover stays 0 until propagation; cert queue blocked. DnsCdnAutoSwitch will re-check public authoritative NS."
落库摘要：切换流程已闭环（dns_switch_pending=0，dns_cutover_complete=1），可进行证书申请与建站相关流程。,"Persisted: switch closed (dns_switch_pending=0, dns_cutover_complete=1); certs/site flows allowed."
"[DnsSwitchService] %{1} Step6 落库: dns_switch_pending=%{2}, dns_cutover_complete=%{3}, dns_migration_pending=%{4}, dns_account_id=%{5}, defer_public_ns=%{6}","[DnsSwitchService] %{1} Step6 persist: dns_switch_pending=%{2}, dns_cutover_complete=%{3}, dns_migration_pending=%{4}, dns_account_id=%{5}, defer_public_ns=%{6}"
"步骤 5/5：校验 CDN/边缘配置…","Step 5/5: Validating CDN/edge configuration..."
"当前 DNS 供应商未提供 CDN 接口校验，已跳过","Current DNS provider does not support CDN interface verification, skipped"
"第 %{1} 次校验 CDN 配置…","Verifying CDN configuration for the %{1} time..."
"%{1} 秒后重试（已等待 %{2} 秒）","Retry in %{1} seconds (waited %{2} seconds)"
"DNS/CDN 切换流程已结束","DNS/CDN switching process has ended"
"[DnsSwitchService] %{1} Step7: DomainPool 已更新，流程完成","[DnsSwitchService] %{1} Step7: DomainPool has been updated, the process is completed"
"DNS 已配置并推送至 %{1}，但公网权威 NS 尚未与该服务商一致（与证书 DNS-01 校验一致）。已保持待切换队列，传播完成后定时任务将自动完成 cutover。","DNS is configured and pushed to %{1}, but public authoritative NS does not yet match that provider (same check as certificate DNS-01). Remaining in pending switch queue; cron will complete cutover after propagation."
"DNS 切换成功：%{1} → %{2}","DNS switch successful: %{1} → %{2}"
"注册商侧 NS：%{1}","Registrar-side NS: %{1}"
注册商侧查询异常：%{1},"Registrar-side query exception: %{1}"
"公网判定：系统解析器仍为旧 NS，但 Cloudflare DoH 已返回目标 NS（可能本机 DNS 缓存滞后）。","Public Network Determination: System resolver is still the old NS, but Cloudflare DoH has returned the target NS (local DNS cache may be lagging)."
"(暂无或仍为旧 NS)","(No or still old NS)"
"【注册商已改 NS，递归尚未全网一致】系统解析仍见「%{1}」%{2}；属注册局/缓存传播，非「被旧值永久覆盖」。证书与 DNS-01 需等权威 NS 在全球可见（常见数分钟～48 小时）。DoH 探测：%{3}。","[The registrar has changed the NS, and the recursion is not consistent across the entire network] The system analysis still shows ""%{1}"" %{2}; it belongs to the registry/cache propagation, and is not ""permanently overwritten by the old value"". The certificate and DNS-01 need to wait for the authoritative NS to be visible globally (usually a few minutes to 48 hours). DoH detection: %{3}."
(未取到),"(not picked up)"
"适配器无 getDomainDetail 方法","Adapter does not have a getDomainDetail method"
"CDN 校验等待中（保持连接）…","CDN verification waiting (keep connected)..."
"[DnsSwitchService] 域名 %{1} 已标记 dns_switch_pending=1, target=%{2}, account_id=%{3}","[DnsSwitchService] Domain name %{1} marked dns_switch_pending=1, target=%{2}, account_id=%{3}"
"源账户 %{1} 不支持 DNS 管理","Source account %{1} does not support DNS management"
"[DnsSwitchService] syncRecordsFromSource %{1} 失败（非致命）：%{2}","[DnsSwitchService] syncRecordsFromSource %{1} failed (non-fatal): %{2}"
"HTTP 可访问（%{1} 重定向）","HTTP accessible (%{1} redirect)"
"HTTP 可访问（%{1}）","HTTP accessible (%{1})"
"HTTPS 可连通（未校验证书，%{1} 重定向）","HTTPS connectable (unverified certificate, %{1} redirect)"
"HTTPS 可连通（未校验证书，%{1}）","HTTPS connectable (unverified certificate, %{1})"
无法连接,"Unable to connect"
"curl 初始化失败","curl initialization failed"
"HTTP %{1}","HTTP %{1}"
域名和账号不能为空,"Domain name and account cannot be empty"
生命周期订单创建成功，但无法读取订单,"Lifecycle order created successfully, but unable to read the order"
配置订单不存在,"Configure order does not exist"
等待根域名同步到本地,"Waiting for root domain to sync locally"
根域建站已锁定，跳过生命周期订单推进,"Root domain site hosting is locked, skipping lifecycle order progression"
"等待根域/@/www 解析到当前服务器","Waiting for root domain/@/www to resolve to the current server"
等待域名可访问,"Waiting for domain to be accessible"
"等待 HTTPS 生效","Waiting for HTTPS to take effect"
域名全流程已完成,"Domain full process completed"
"未找到该域名的生命周期订单。若通过域名购买功能购买，请确认购买时已勾选「启动全流程状态跟踪」，且 Websites 一站式配置已启用。","No lifecycle order found for this domain. If purchased via the domain purchase feature, please ensure ""Enable full lifecycle status tracking"" was checked at purchase time, and that the Websites one-stop configuration is enabled."
正在注册,Registering
切换Dns中,"Switching DNS"
解析域名记录中,"Parsing domain records"
等待访问验证,"Waiting for access verification"
切换CDN中,"Switching CDN"
申请HTTPS中,"Applying HTTPS"
本地演示：已生成模拟生命周期状态,"Local demo: simulated lifecycle status generated"
"生命周期订单已完成，联动更新根域状态：%{1} → active","Lifecycle order completed, updating root domain status: %{1} → active"
"生命周期脏数据修复：已同步根域 %{1} 条，已补标完成 %{2} 条","Lifecycle dirty data fix: %{1} root domains synced, %{2} items re-tagged"
"[NS 与配置 DNS 账户不一致] 域名 %{1}：公网识别为 %{2}，配置的 DNS 账户服务商为 %{3}（account_id=%{4}）。公网 NS：%{5}。请运营核对注册商 NS 或等待切换传播；此检查只做告警，不会在这里直接改 NS。","[NS is inconsistent with the configured DNS account] Domain name %{1}: The public network is identified as %{2}, and the configured DNS account service provider is %{3} (account_id=%{4}). Public network NS: %{5}. Please check the registrar NS or wait for the switch to propagate; this check is only for warning, and the NS will not be changed directly here."
"[NS 自愈策略] 已为域名 %{1} 写入 dns_switch_pending=1（冷却内单次排队），将由 DnsCdnAutoSwitch 执行切换。","[NS self-healing policy] dns_switch_pending=1 has been written for the domain name %{1} (single queue within cooldown), the switch will be performed by DnsCdnAutoSwitch."
已入池,Pooled
入池,"Add to Pool"
解析,Parse
"已解析到 IP","Resolved to IP"
等待解析检测,"Waiting for resolution check"
源站,"Source site"
记录指向本机源站,"Record Points to Local Origin Server"
"未指向本机或 CDN 边缘","Not pointing to local machine or CDN edge"
证书,Certificate
证书有效,"Certificate Valid"
"正在向 CA 申请","Applying to CA..."
待申请,"To apply"
可创建站点,"Can Create Sites"
可建站,"Can Build Sites"
需证书有效等条件,"Conditions such as a valid certificate are required"
已绑定站点,"Bound site"
已建站,"Site created"
尚未绑定站点,"No site bound yet"
"阶段：已建站 (site_live)","Phase: Site Live"
"无法获取本机公网 IPv4，请在 env 中配置 server.public_ip 或确保网络可访问外网 IP 检测接口","Cannot detect public IPv4; set server.public_ip or fix outbound network"
"未解析到有效 IP，请检查域名是否已添加 A 或 AAAA 记录","Not resolved to a valid IP. Please check if the domain has an A or AAAA record added."
该域名已有进行中的配置流程,"This domain already has a configuration process in progress."
"配置订单已创建（使用已有域名），请继续 DNS/CDN/证书 步骤","Configure order created (using existing domain), please proceed with DNS/CDN/Certificate steps"
购买失败,"Purchase failed"
"域名购买成功，请继续 DNS/CDN/证书 步骤","Domain purchase successful, please continue with DNS/CDN/Certificate steps"
"DNS 绑定已提交","DNS binding submitted"
"DNS 步骤已记录，可由 Terraform 等模块执行","DNS steps have been recorded and can be executed by modules such as Terraform"
"请指定 CDN 供应商与账户，或先在订单中配置 cdn_vendor/cdn_account_id","Please specify the CDN provider and account, or configure cdn_vendor/cdn_account_id in the order first"
"CDN 适配器不存在：%{1}","CDN adapter does not exist: %{1}"
"CDN 账户不存在。请先在「CDN 管理」中添加 %{vendor} 账户并设为默认，或指定正确的 cdn_account_id（CDN 模块的账户 ID）","The CDN account does not exist. Please add the %{vendor} account in ""CDN Management"" first and set it as default, or specify the correct cdn_account_id (account ID of the CDN module)"
"ensureZone 失败","ensureZone failed"
"ensureZone 未返回 zone_id","ensureZone did not return zone_id"
"CDN 绑定成功","CDN binding successful"
"已跳过 SSL，流程完成","SSL skipped; process completed"
证书申请成功,"Certificate application successful"
域名商账号未配置,"Domain registrar account not configured"
购买条目不能为空,"Purchase items cannot be empty"
